KE	KEtitle
https://identifiers.org/aop.events/663	Desensitization, Nicotinic acetylcholine receptor
https://identifiers.org/aop.events/669	Reduction, Neuronal synaptic inhibition
https://identifiers.org/aop.events/715	Activation, Constitutive androstane receptor
https://identifiers.org/aop.events/716	Increase, cell proliferation (hepatocytes)
https://identifiers.org/aop.events/752	Altered, Meiotic chromosome dynamics
https://identifiers.org/aop.events/79	Inhibition, Cyclooxygenase activity
https://identifiers.org/aop.events/826	Activation, Keratinocytes
https://identifiers.org/aop.events/851	Decrease of GABAergic interneurons
https://identifiers.org/aop.events/853	Changes/Inhibition, Cellular Homeostasis and Apoptosis
https://identifiers.org/aop.events/856	Formation, Hepatocellular and Bile duct tumors
https://identifiers.org/aop.events/858	Decreased, PPARalpha transactivation of gene expression
https://identifiers.org/aop.events/877	Inhibition, organic anion transporter 1 (OAT1)
https://identifiers.org/aop.events/887	Inhibition, NADH-ubiquinone oxidoreductase  (complex I)
https://identifiers.org/aop.events/888	Binding of inhibitor, NADH-ubiquinone oxidoreductase (complex I)
https://identifiers.org/aop.events/89	Synthesis, De Novo FA
https://identifiers.org/aop.events/927	KE1 : S-Glutathionylation, eNOS
https://identifiers.org/aop.events/935	KE2 : Decrease, GTPCH-1
https://identifiers.org/aop.events/941	Activation, EGFR
https://identifiers.org/aop.events/944	dimerization, AHR/ARNT
https://identifiers.org/aop.events/948	reduced production, VEGF
https://identifiers.org/aop.events/957	Binding, Transthyretin in serum
https://identifiers.org/aop.events/958	Displacement, Serum thyroxine (T4) from transthyretin
https://identifiers.org/aop.events/959	Increased, Free serum thyroxine (T4)
https://identifiers.org/aop.events/960	Increased, Uptake of thyroxine into tissue
https://identifiers.org/aop.events/961	Increased, Clearance of thyroxine from serum
https://identifiers.org/aop.events/962	Increase, Mucin production
https://identifiers.org/aop.events/973	KE5 : Decrease, AKT/eNOS activity
https://identifiers.org/aop.events/979	Interference, nuclear localization of NFAT
https://identifiers.org/aop.events/980	Inhibition, Calcineurin Activity
https://identifiers.org/aop.events/981	Reduction, NFAT/AP-1 complex formation
https://identifiers.org/aop.events/984	Impairment, T-cell dependent antibody response
https://identifiers.org/aop.events/10	Acetylcholine accumulation in synapses
https://identifiers.org/aop.events/1001	Increased, Developmental Defects
https://identifiers.org/aop.events/1004	Reduced, Posterior swim bladder inflation
https://identifiers.org/aop.events/1005	Reduced, Swimming performance
https://identifiers.org/aop.events/1007	Reduced, Anterior swim bladder inflation
https://identifiers.org/aop.events/1012	Increased, Inhibitory postsynaptic potential
https://identifiers.org/aop.events/1014	Induction, Somatic muscle paralysis
https://identifiers.org/aop.events/1015	Increased, Neuronal synaptic inhibition
https://identifiers.org/aop.events/1016	Inhibition, Feeding
https://identifiers.org/aop.events/1018	Activation, Glutamate-gated chloride channels
https://identifiers.org/aop.events/1019	Induction, pharyngeal muscle paralysis
https://identifiers.org/aop.events/1023	Increased, Thyroid-stimulating hormone (TSH)
https://identifiers.org/aop.events/1028	Activation of specific nuclear receptors, PPAR-gamma activation
https://identifiers.org/aop.events/1029	Increased, adipogenesis
https://identifiers.org/aop.events/103	Increase, Ecdysone receptor agonism
https://identifiers.org/aop.events/1032	Increased, secretion of local growth factors
https://identifiers.org/aop.events/1033	Increased, proliferation of mesenchymal cells
https://identifiers.org/aop.events/1034	Increased, IGF-1 (mouse)
https://identifiers.org/aop.events/1035	Increased, Firbrosarcoma
https://identifiers.org/aop.events/1036	Increased, liposarcoma
https://identifiers.org/aop.events/1037	Increased, hemagiosarcoma
https://identifiers.org/aop.events/1038	Activation, beta-2 adrenergic receptor
https://identifiers.org/aop.events/1039	Increased activity, beta-2 adrenergic receptor
https://identifiers.org/aop.events/1040	relaxation, smooth muscle
https://identifiers.org/aop.events/1042	Proliferation/Clonal Expansion, smooth muscle
https://identifiers.org/aop.events/1043	Hypertrophy/hyperplasia, smooth muscle
https://identifiers.org/aop.events/1044	Promotion, mesovarian leiomyomas
https://identifiers.org/aop.events/1045	Decreased, Ovarian E2
https://identifiers.org/aop.events/1046	Suppression, Estrogen receptor (ER) activity
https://identifiers.org/aop.events/1047	Increased, secretion of GnRH from hypothalamus
https://identifiers.org/aop.events/1049	Increased, secrection of FSH from anterior pituitary
https://identifiers.org/aop.events/1050	Increased, secretion of LH from anterior pituitary
https://identifiers.org/aop.events/1051	Hyperplasia, ovarian stromal cells
https://identifiers.org/aop.events/1052	Hyperplasia, ovarian epithelium
https://identifiers.org/aop.events/1053	Promotion, ovarian adenomas
https://identifiers.org/aop.events/1054	Promotion, ovarian granular cell tumors
https://identifiers.org/aop.events/1056	Decrease, E2 blood concentrations at hypothalamus
https://identifiers.org/aop.events/1057	Increased, PPAR-alpha activation
https://identifiers.org/aop.events/1058	Decreased, bile flow
https://identifiers.org/aop.events/1059	Increased, cholestasis
https://identifiers.org/aop.events/106	Reduction, Eggshell thickness
https://identifiers.org/aop.events/1060	Alteration, lipid metabolism
https://identifiers.org/aop.events/1061	prolonged, elevation of serun CCK
https://identifiers.org/aop.events/1062	Increased, Cellular proliferation / hyperplasia of acinar cells
https://identifiers.org/aop.events/1063	Increased, Pancreatic acinar tumors
https://identifiers.org/aop.events/1064	prepubertal increase, Estrogen receptor (ER) activity
https://identifiers.org/aop.events/1065	Activation, estrogen receptor alpha
https://identifiers.org/aop.events/1066	Promotion, SIX-1 postive basal-type progenitor cells
https://identifiers.org/aop.events/1067	Proliferation/Clonal Expansion, aberrant basal cells
https://identifiers.org/aop.events/1068	squamous metaplasia, aberrant basal cells
https://identifiers.org/aop.events/1069	Increased, Hyperplasia (glandular epithelial cells of endometrium)
https://identifiers.org/aop.events/1070	Increased, adenosquamous carcinomas of endometrium
https://identifiers.org/aop.events/1071	Decreased, GnRH pulsatility/release in hypothalamus
https://identifiers.org/aop.events/1072	Decreased, LH Surge from anterior pituitary
https://identifiers.org/aop.events/1074	interruption, Ovulation
https://identifiers.org/aop.events/1075	prolonged, estrus
https://identifiers.org/aop.events/1076	Increased, circulating estrogen levels
https://identifiers.org/aop.events/1077	Increased, prolactin exposure
https://identifiers.org/aop.events/1078	Hyperplasia, Mammary gland
https://identifiers.org/aop.events/1079	Increased, Adenomas/carcinomas (mammary)
https://identifiers.org/aop.events/1080	Increased, latency period
https://identifiers.org/aop.events/1081	Increased, lactotroph hyperplasia and hypertrophy
https://identifiers.org/aop.events/1082	Increased, adenomas (pituitary)
https://identifiers.org/aop.events/1083	Decreased, Dopaminergic activity
https://identifiers.org/aop.events/1084	Increased, prolactin secretion
https://identifiers.org/aop.events/1085	Increased, hyperplasia (mammary gland)
https://identifiers.org/aop.events/1086	persistent, cytotoxicity (pleura or peritoneum)
https://identifiers.org/aop.events/1087	Increased, inflammation
https://identifiers.org/aop.events/1088	Increased, Oxidative Stress
https://identifiers.org/aop.events/1089	Increased, Cell Proliferation (mesothelium)
https://identifiers.org/aop.events/1090	Increased, mesotheliomas
https://identifiers.org/aop.events/1096	Increased, blood uric acid concentration
https://identifiers.org/aop.events/1097	Occurrence, renal proximal tubular necrosis
https://identifiers.org/aop.events/1098	Increased, blood potassium concentration
https://identifiers.org/aop.events/1101	Altered, Amphibian metamorphosis
https://identifiers.org/aop.events/1102	Occurrence, tophi (urate) deposition
https://identifiers.org/aop.events/1103	Inhibition, Cyclooxygenase 1 activity
https://identifiers.org/aop.events/1104	Decreased, Prostaglandin F2alpha concentration, plasma 
https://identifiers.org/aop.events/1105	Occurrence, renal ischemia
https://identifiers.org/aop.events/1106	Occurrence, cardiac arrhythmia
https://identifiers.org/aop.events/1107	Weakened, Colony
https://identifiers.org/aop.events/1109	Increased, Deformed Wing Virus levels
https://identifiers.org/aop.events/111	Agonism, Estrogen receptor
https://identifiers.org/aop.events/1110	Increased, Energetic demands and therefore metabolic stress
https://identifiers.org/aop.events/1114	Unknown, MIE
https://identifiers.org/aop.events/1115	Increased, Reactive oxygen species
https://identifiers.org/aop.events/1116	Decreased, Triiodothyronine (T3) in tissues
https://identifiers.org/aop.events/1122	Under carboxylated clotting factors will not assemble on cell surfaces to form clot, Failure of secondary hemostasis  
https://identifiers.org/aop.events/1130	Failure in vascular repair mechanisms, Unresolved blood loss (hemorrhage)
https://identifiers.org/aop.events/1131	Failure in gamma-glutamyl carboxylation of  clotting factors II, VII, IX and X, Under carboxylation of clotting factors (e.g., des-gamma-carboxy prothrombin) 
https://identifiers.org/aop.events/1132	Blood loss and development of anemia, Impaired oxygen delivery and nutrient delivery to tissue, impaired carbon dioxide and waste product removal
https://identifiers.org/aop.events/1133	Hemostasis, Depletion from blood of fully functional carboxylated clotting factors
https://identifiers.org/aop.events/1134	Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone
https://identifiers.org/aop.events/1135	Reduced fitness or even mortality, Acidosis, hypovolemic shock and organ dysfunction
https://identifiers.org/aop.events/1136	Impaired recruitment , Population trajectory
https://identifiers.org/aop.events/1138	Uncoupling of oxidative phosphorylation, Reduced ability to generate ATP
https://identifiers.org/aop.events/1139	Increased, water retention in foot
https://identifiers.org/aop.events/1141	Decreased, Reproductive Success
https://identifiers.org/aop.events/1142	Increased, valve movement
https://identifiers.org/aop.events/1143	Depletion, energy reserves
https://identifiers.org/aop.events/1151	Osteoporosis and vascular calcification, Bone deterioration
https://identifiers.org/aop.events/1152	Inhibition, Iodotyrosine deiodinase (IYD)
https://identifiers.org/aop.events/1153	Inhibition, Deiodinase 3
https://identifiers.org/aop.events/1154	Increased, Triiodothyronine (T3) in tissues
https://identifiers.org/aop.events/1155	Inhibition, Pendrin
https://identifiers.org/aop.events/1156	Inhibition, Dual oxidase
https://identifiers.org/aop.events/1157	Activation, Hepatic nuclear receptor(s)
https://identifiers.org/aop.events/1158	Increased, Hepatic thyroid hormone uptake/transport
https://identifiers.org/aop.events/1161	Increased, oocyte maturation
https://identifiers.org/aop.events/1163	Increased, Reproductive Success
https://identifiers.org/aop.events/1164	Increased, Population
https://identifiers.org/aop.events/1169	Anticoagulant rodenticide interferes with carboxylation of Gla proteins in bone, Impairment of post-translational modification (carboxylation) of osteocalcin
https://identifiers.org/aop.events/1170	Increase, Phenotypic enzyme activity
https://identifiers.org/aop.events/1171	Increase, Clonal Expansion of Altered Hepatic Foci
https://identifiers.org/aop.events/1174	Activation, NADPH Oxidase
https://identifiers.org/aop.events/1176	Decreased, sodium conductance 2
https://identifiers.org/aop.events/1179	Decreased, GABA release
https://identifiers.org/aop.events/118	Formation, Formation of hemoglobin adducts
https://identifiers.org/aop.events/1181	Activation, Estrogen receptor
https://identifiers.org/aop.events/1182	Increase, Cell Proliferation (Epithelial Cells)
https://identifiers.org/aop.events/1183	Decreased, Apoptosis (Epithelial Cells)
https://identifiers.org/aop.events/1187	Increased, ER binding to DNA (classical pathway) 
https://identifiers.org/aop.events/1188	Increased, ER binding to T.F. to DNA (non-classical pathway)
https://identifiers.org/aop.events/1189	Increased, Proliferation (Endothelial cells) 
https://identifiers.org/aop.events/1190	Increased, Migration (Endothelial Cells)
https://identifiers.org/aop.events/1191	Increased, Non-genomic signaling
https://identifiers.org/aop.events/1192	Increased, Ductal Hyperplasia 
https://identifiers.org/aop.events/1194	Increase, DNA damage
https://identifiers.org/aop.events/1195	modulation, Extracellular Matrix Composition 
https://identifiers.org/aop.events/1196	Increased, Invasion
https://identifiers.org/aop.events/1197	Activation, Fibroblasts
https://identifiers.org/aop.events/1198	Activation, Macrophages
https://identifiers.org/aop.events/1205	Activation, Juvenile hormone receptor
https://identifiers.org/aop.events/1206	Induction, Doublesex1 gene
https://identifiers.org/aop.events/1208	Increased, Male offspring
https://identifiers.org/aop.events/1209	Induction, Male reproductive tract
https://identifiers.org/aop.events/1210	Alteration, Food-web structures
https://identifiers.org/aop.events/1213	Increased, Angiogenesis
https://identifiers.org/aop.events/1215	TRPA1 activation, TRPA1 Receptor
https://identifiers.org/aop.events/1218	Opening of calcium channel, Calcium influx
https://identifiers.org/aop.events/122	Activation, Glucocorticoid Receptor
https://identifiers.org/aop.events/1220	Trigeminal nerve activation
https://identifiers.org/aop.events/1222	SP (Substance P) release, Local increase of SP
https://identifiers.org/aop.events/1223	Trigeminal and/or vagal nerve excitation causes Airway Hyper-responsiveness,Cough, Dyspnea
https://identifiers.org/aop.events/1226	Increased Respiratory irritability and Chronic Cough, 
https://identifiers.org/aop.events/1239	Altered, Gene Expression
https://identifiers.org/aop.events/1240	Altered, Protein Production
https://identifiers.org/aop.events/1241	Increased, Motility
https://identifiers.org/aop.events/1242	Increased, Second Messenger Production
https://identifiers.org/aop.events/1250	Decrease, Lung function
https://identifiers.org/aop.events/1252	Binding to (interferes with) topoisomerase II enzyme
https://identifiers.org/aop.events/1255	induced spawning
https://identifiers.org/aop.events/1256	increased mantel display
https://identifiers.org/aop.events/1257	Induced parturition
https://identifiers.org/aop.events/1258	Decompartmentalization
https://identifiers.org/aop.events/1259	narcosis
https://identifiers.org/aop.events/1260	Direct mitochondrial inhibition
https://identifiers.org/aop.events/1261	Mitochondrial impairment
https://identifiers.org/aop.events/1262	Apoptosis
https://identifiers.org/aop.events/1263	Necrosis
https://identifiers.org/aop.events/1264	Increase, Nuclear receptor E75b gene expression
https://identifiers.org/aop.events/1265	Increase, Fushi tarazu factor-1 gene expression
https://identifiers.org/aop.events/1266	Decrease, Circulating crustacean cardioactive peptide
https://identifiers.org/aop.events/1267	Decrease, Ecdysis motoneuron bursts
https://identifiers.org/aop.events/1268	Decrease, Excitatory postsynaptic potential
https://identifiers.org/aop.events/1270	Inactivation of PPARγ
https://identifiers.org/aop.events/1271	Activation of TGF-β signaling
https://identifiers.org/aop.events/1275	Collagen Deposition
https://identifiers.org/aop.events/1276	Lung fibrosis
https://identifiers.org/aop.events/1277	Reproductive failure
https://identifiers.org/aop.events/1278	ROS formation
https://identifiers.org/aop.events/1279	Increase, Oxidative Stress / Activation, PMK-1 P38 MAPK
https://identifiers.org/aop.events/1280	Activation, HIF-1
https://identifiers.org/aop.events/1281	Increased, DNA Damage-Repair
https://identifiers.org/aop.events/1282	Activation, JAK/STAT pathway
https://identifiers.org/aop.events/1283	Activation, TGF-beta pathway
https://identifiers.org/aop.events/1284	Up Regulation, SREBF2
https://identifiers.org/aop.events/1285	Up Regulation, Unsaturated fatty acid
https://identifiers.org/aop.events/1286	Down Regulation, GSS and GSTs gene
https://identifiers.org/aop.events/1287	Glutathione synthesis
https://identifiers.org/aop.events/1288	Activation, 3-hydroxy-3-methylglutaryl-CoA reductase gene
https://identifiers.org/aop.events/1289	Perturbation of cholesterol
https://identifiers.org/aop.events/129	Reduction, Gonadotropins, circulating concentrations
https://identifiers.org/aop.events/1290	Glutathione homeostasis
https://identifiers.org/aop.events/1291	Hepatotoxicity
https://identifiers.org/aop.events/1292	Activation, JNK
https://identifiers.org/aop.events/1293	Activation, FOXO
https://identifiers.org/aop.events/1294	Inhibition, Wnt pathway
https://identifiers.org/aop.events/1295	Defect of Embryogenesis
https://identifiers.org/aop.events/1305	Increase, cytosolic fatty acid
https://identifiers.org/aop.events/131	Down Regulation, Gulcose-6-phosphate dehydrogenase
https://identifiers.org/aop.events/1316	Inhibit, serotonin transporter activity
https://identifiers.org/aop.events/1317	Decreased, serotonin transporter activity
https://identifiers.org/aop.events/1318	Decreased, extracellular sodium (Na+) 
https://identifiers.org/aop.events/1319	Decreased, extracellular chloride (Cl-)
https://identifiers.org/aop.events/1320	Increased, extracellular serotonin
https://identifiers.org/aop.events/1321	Increased, intracellular sodium (Na+)
https://identifiers.org/aop.events/1322	Increased, intracellular chloride (Cl-)
https://identifiers.org/aop.events/1323	Decreased, intracellular serotonin
https://identifiers.org/aop.events/1324	Decreased, packaged serotonin
https://identifiers.org/aop.events/1325	Decreased, synaptic release
https://identifiers.org/aop.events/1326	Increased, 5-HT3 (5-hydroxytryptamine)
https://identifiers.org/aop.events/1328	Inactivated, 5-HTR (serotonin receptors)
https://identifiers.org/aop.events/1329	Reduce expression, BDNF (Brain-derived neurotrophic factor)
https://identifiers.org/aop.events/1330	Decreased, neuroplasticity
https://identifiers.org/aop.events/1334	Increase, cortisone
https://identifiers.org/aop.events/1335	Reduced, BDNF (Brain-derived neurotrophic factor)
https://identifiers.org/aop.events/1336	Activation, 5-HT2A (Serotonin 2A)
https://identifiers.org/aop.events/1337	Activate, PLC (Phospholipase C)
https://identifiers.org/aop.events/1338	Increase, inositol triphosphate
https://identifiers.org/aop.events/1339	Increase, intracellular calcium
https://identifiers.org/aop.events/1340	Activate, calmodulin
https://identifiers.org/aop.events/1341	Increase, myosin light chain phosphorylation
https://identifiers.org/aop.events/1342	Increase, vascular smooth muscle contraction
https://identifiers.org/aop.events/1343	Increase, hypertension
https://identifiers.org/aop.events/1344	Increased, seizure
https://identifiers.org/aop.events/1345	Increased, agitation
https://identifiers.org/aop.events/1346	Increased, depression
https://identifiers.org/aop.events/1347	Decreased, extracellular serotonin
https://identifiers.org/aop.events/1348	Increase, seizure
https://identifiers.org/aop.events/1349	Activated, presynaptic neuron 1
https://identifiers.org/aop.events/1350	Increased, glutamate
https://identifiers.org/aop.events/1351	Activated, NMDA receptor
https://identifiers.org/aop.events/1352	Activated, voltage-gated sodium channel
https://identifiers.org/aop.events/1353	Inhibit, voltage-gated sodium channel
https://identifiers.org/aop.events/1354	Treat, carbamazepine
https://identifiers.org/aop.events/1355	Activated, membrane depolarization
https://identifiers.org/aop.events/1356	Inactive, membrane depolarization
https://identifiers.org/aop.events/1357	Increased, RDX dose
https://identifiers.org/aop.events/1358	Repress, GABA-A receptor
https://identifiers.org/aop.events/1359	Activate, GABA-A receptor
https://identifiers.org/aop.events/1360	Activate, presynaptic neuron 2
https://identifiers.org/aop.events/1361	Increase, GABA
https://identifiers.org/aop.events/1362	Increased, hippocampal hyperdepolarization
https://identifiers.org/aop.events/1363	Increased, epilepsy
https://identifiers.org/aop.events/1364	Increase, Reactive oxygen species
https://identifiers.org/aop.events/1365	Increase, Apoptosis
https://identifiers.org/aop.events/1366	Decrease, Oogenesis
https://identifiers.org/aop.events/1367	Inhibit, gastric ulcer formation
https://identifiers.org/aop.events/1368	Inhibition, PTGS-1 (Prostaglandin-endoperoxide synthase 1)
https://identifiers.org/aop.events/1369	Activation, PTGS-1 (Prostaglandin-endoperoxide synthase 1)
https://identifiers.org/aop.events/1370	Activation, PTGS-2 (Prostaglandin-endoperoxide synthase 2)
https://identifiers.org/aop.events/1371	Inhibition, PTGS-2 (Prostaglandin-endoperoxide synthase 2)
https://identifiers.org/aop.events/1372	Increase, bicarbonate 
https://identifiers.org/aop.events/1373	Increase, mucous
https://identifiers.org/aop.events/1374	Increase, mucosal blood flow
https://identifiers.org/aop.events/1375	Increase, platelet aggregation
https://identifiers.org/aop.events/1376	Increase, angiogenesis
https://identifiers.org/aop.events/1377	Decrease, leukocyte adherence
https://identifiers.org/aop.events/1378	Increase, leukocyte adherence
https://identifiers.org/aop.events/1379	Activate, leukocyte 
https://identifiers.org/aop.events/1380	Activate, mucosal defense
https://identifiers.org/aop.events/1381	Increase, surfactant
https://identifiers.org/aop.events/1382	Decrease, surfactant
https://identifiers.org/aop.events/1383	Activate, phospholipase
https://identifiers.org/aop.events/1384	Increase, ammonium (NH4+)
https://identifiers.org/aop.events/1385	Activated, gastric ulcer formation
https://identifiers.org/aop.events/1386	CYP7B activity, inhibition
