PathwayID	PathwayTitle	Identifier	name	Ensembl	WPNodeIDType	CNVassociated	WPNodeID
WP4906	3q29 copy number variation syndrome	ENSG00000163958	ZDHHC19	ENSG00000163958	ensembl	1	ENSG00000163958
WP4932	7q11.23 copy number variation syndrome	CHEBI:9168	rapamycin		chebi	1	CHEBI:9168
WP3584	MECP2 and associated Rett syndrome	ENSG00000134748	PRPF3	ENSG00000134748	ensembl	NA	ENSG00000134748
WP5346	8p23.1 copy number variation syndrome	ENSG00000184608	C8orf12	ENSG00000184608	ensembl	1	ENSG00000184608
WP4905	1q21.1 copy number variation syndrome	CHEBI:16761	ADP		chebi	1	CHEBI:16761
WP4906	3q29 copy number variation syndrome	ENSG00000185798	WDR53	ENSG00000185798	ensembl	1	ENSG00000185798
WP5406	13q12.12 copy number variation	ENSG00000131323	TRAF3	ENSG00000131323	ensembl	1	ENSG00000131323
WP4657	22q11.2 copy number variation syndrome	MIMAT0000460	hsa-miR-194-1		mirbase.mature	1	MIMAT0000460
WP4222	Phosphodiesterases in neuronal function	ENSG00000115252	PDE1A	ENSG00000115252	ensembl	NA	ENSG00000115252
WP4657	22q11.2 copy number variation syndrome	ENSG00000100150	DEPDC5	ENSG00000100150	ensembl	1	ENSG00000100150
WP4657	22q11.2 copy number variation syndrome	ENSG00000003137	CYP26B1	ENSG00000003137	ensembl	1	ENSG00000003137
WP4657	22q11.2 copy number variation syndrome	ENSG00000066468	FGFR2	ENSG00000066468	ensembl	1	ENSG00000066468
WP5346	8p23.1 copy number variation syndrome	CHEBI:29958	L-aspartyl		chebi	1	CHEBI:29958
WP4222	Phosphodiesterases in neuronal function	ENSG00000164742	ADCY1, Adenyl cyclase	ENSG00000164742	ensembl	NA	ENSG00000164742
WP4932	7q11.23 copy number variation syndrome	ENSG00000163539	CLASP2	ENSG00000163539	ensembl	1	ENSG00000163539
WP4222	Phosphodiesterases in neuronal function	ENSG00000123201	GUCY1B2, sGC	ENSG00000123201	ensembl	NA	ENSG00000123201
WP4906	3q29 copy number variation syndrome	ENSG00000177606	AP1, JUN, c-JUN, c-Jun, c-jun, cJUN	ENSG00000177606	ensembl	1	ENSG00000177606
WP4942	15q13.3 copy number variation syndrome	MI0000287	hsa-mir-211		mirbase	1	MI0000287
WP5407	15q11q13 copy number variation	WP4102	Deubiquitination		wikipathways	1	WP4102
WP3584, WP5407	15q11q13 copy number variation, MECP2 and associated Rett syndrome	ENSG00000116478	HDAC1	ENSG00000116478	ensembl	1	ENSG00000116478
WP4657	22q11.2 copy number variation syndrome	WP4443	p75 NTR receptor-mediated signaling		wikipathways	1	WP4443
WP4932	7q11.23 copy number variation syndrome	ENSG00000252713	RNU6-1198P	ENSG00000252713	ensembl	1	ENSG00000252713
WP4222	Phosphodiesterases in neuronal function	ENSG00000174233	ADCY6	ENSG00000174233	ensembl	NA	ENSG00000174233
WP4657	22q11.2 copy number variation syndrome	ENSG00000237476	LINC01637	ENSG00000237476	ensembl	1	ENSG00000237476
WP5408	15q25 copy number variation	ENSG00000214575	CPEB1	ENSG00000214575	ensembl	1	ENSG00000214575
WP4657	22q11.2 copy number variation syndrome	ENSG00000054598	FOXC1	ENSG00000054598	ensembl	1	ENSG00000054598
WP4657	22q11.2 copy number variation syndrome	ENSG00000112658	SRF	ENSG00000112658	ensembl	1	ENSG00000112658
WP4905	1q21.1 copy number variation syndrome	ENSG00000180867	PDIA3P1	ENSG00000180867	ensembl	1	ENSG00000180867
WP5402	10q22q23 copy number variation	CHEBI:59789	S-Adenosylmethionine, S-adenosyl-L-methionine, SAM, SAMe		chebi	1	CHEBI:59789
WP4932	7q11.23 copy number variation syndrome	ENSG00000106665	CLIP2	ENSG00000106665	ensembl	1	ENSG00000106665
WP4657	22q11.2 copy number variation syndrome	ENSG00000110799	VWF	ENSG00000110799	ensembl	1	ENSG00000110799
WP4657	22q11.2 copy number variation syndrome	WP4900	Purinergic signaling		wikipathways	1	WP4900
WP4906	3q29 copy number variation syndrome	ENSG00000252174	RNU7-18P	ENSG00000252174	ensembl	1	ENSG00000252174
WP4657	22q11.2 copy number variation syndrome	ENSG00000133794	ARNTL, BMAL1	ENSG00000133794	ensembl	1	ENSG00000133794
WP4657, WP4932	22q11.2 copy number variation syndrome, 7q11.23 copy number variation syndrome	CHEBI:18243	DA, DA [clathrin-sculpted monoamine transport vesicle lumen], Dopamine		chebi	1	CHEBI:18243
WP5346, WP5402	10q22q23 copy number variation, 8p23.1 copy number variation syndrome	CHEBI:15377	2 H2O, 3 H2O, H20, H2O, oxidized thioredoxin, water		chebi	1	CHEBI:15377
WP3584	MECP2 and associated Rett syndrome	ENSG00000137154	RPS6, S6	ENSG00000137154	ensembl	NA	ENSG00000137154
WP408	Oxidative stress response	2876	GPX 1, GPX1	ENSG00000233276	ncbigene	NA	2876
WP4932	7q11.23 copy number variation syndrome	CHEBI:50324	guanosine 5'-monophosphate residue		chebi	1	CHEBI:50324
WP5346	8p23.1 copy number variation syndrome	ENSG00000171056	SOX7	ENSG00000171056	ensembl	1	ENSG00000171056
WP4875, WP5408	15q25 copy number variation, Disruption of postsynaptic signaling by CNV	ENSG00000161681	SHANK, SHANK1	ENSG00000161681	ensembl	1	ENSG00000161681
WP4657	22q11.2 copy number variation syndrome	ENSG00000100056	ESS2	ENSG00000100056	ensembl	1	ENSG00000100056
WP4940	15q11.2 copy number variation syndrome	ENSG00000140157	NIPA2	ENSG00000140157	ensembl	1	ENSG00000140157
WP5346	8p23.1 copy number variation syndrome	ENSG00000205884	DEFB136	ENSG00000205884	ensembl	1	ENSG00000205884
WP5346	8p23.1 copy number variation syndrome	ENSG00000164362	TERT	ENSG00000164362	ensembl	1	ENSG00000164362
WP4222	Phosphodiesterases in neuronal function	ENSG00000105650	PDE4C	ENSG00000105650	ensembl	NA	ENSG00000105650
WP5408	15q25 copy number variation	ENSG00000184206	GOLGA6L4	ENSG00000184206	ensembl	1	ENSG00000184206
WP5346	8p23.1 copy number variation syndrome	WP3558	Beta-catenin independent WNT signaling		wikipathways	1	WP3558
WP4906	3q29 copy number variation syndrome	ENSG00000174007	CEP19	ENSG00000174007	ensembl	1	ENSG00000174007
WP5405	13q12 or CRYL1 copy number variation	ENSG00000165475	CRYL1	ENSG00000165475	ensembl	1	ENSG00000165475
WP3584	MECP2 and associated Rett syndrome	ENSG00000128683	GAD1	ENSG00000128683	ensembl	NA	ENSG00000128683
WP408	Oxidative stress response	4790	NF-kappa-B, NFKB, NFKB-p105, NFKB1, NFkB	ENSG00000109320	ncbigene	NA	4790
WP5399	NPHP1 deletion syndrome	ENSG00000103494	RPGRIP1L	ENSG00000103494	ensembl	1	ENSG00000103494
WP5407	15q11q13 copy number variation	Q96MF7	NSMCE2	ENSG00000156831	uniprot	1	Q96MF7
WP5407	15q11q13 copy number variation	ENSG00000187123	LYPD6	ENSG00000187123	ensembl	1	ENSG00000187123
WP5408	15q25 copy number variation	ENSG00000176371	ZSCAN2	ENSG00000176371	ensembl	1	ENSG00000176371
WP4222	Phosphodiesterases in neuronal function	ENSG00000139053	PDE6H	ENSG00000139053	ensembl	NA	ENSG00000139053
WP5406	13q12.12 copy number variation	ENSG00000102683	SGCG	ENSG00000102683	ensembl	1	ENSG00000102683
WP4657, WP5406	13q12.12 copy number variation, 22q11.2 copy number variation syndrome	ENSG00000070831	CDC42	ENSG00000070831	ensembl	1	ENSG00000070831
WP4906	3q29 copy number variation syndrome	ENSG00000243339	RN7SL738P	ENSG00000243339	ensembl	1	ENSG00000243339
WP4657	22q11.2 copy number variation syndrome	ENSG00000099957	P2RX6	ENSG00000099957	ensembl	1	ENSG00000099957
WP3584, WP4657	22q11.2 copy number variation syndrome, MECP2 and associated Rett syndrome	ENSG00000141027	NCOR1	ENSG00000141027	ensembl	1	ENSG00000141027
WP3584	MECP2 and associated Rett syndrome	ENSG00000105880	DLX5	ENSG00000105880	ensembl	NA	ENSG00000105880
WP4932	7q11.23 copy number variation syndrome	ENSG00000141971	MVB12A	ENSG00000141971	ensembl	1	ENSG00000141971
WP4906	3q29 copy number variation syndrome	5280360	Prostaglandin E2		pubchem.compound	1	5280360
WP4906	3q29 copy number variation syndrome	ENSG00000206644	RNU6-1279P	ENSG00000206644	ensembl	1	ENSG00000206644
WP4657	22q11.2 copy number variation syndrome	ENSG00000138758	SEPTIN11	ENSG00000138758	ensembl	1	ENSG00000138758
WP5407	15q11q13 copy number variation	CHEBI:27363	Zn2+, zinc		chebi	1	CHEBI:27363
WP4932	7q11.23 copy number variation syndrome	WP4861	ER stress, Integrative stress response		wikipathways	1	WP4861
WP408	Oxidative stress response	6649	SOD3	ENSG00000109610	ncbigene	NA	6649
WP4932	7q11.23 copy number variation syndrome	ENSG00000010671	BTK	ENSG00000010671	ensembl	1	ENSG00000010671
WP4657	22q11.2 copy number variation syndrome	ENSG00000083312	TNPO1	ENSG00000083312	ensembl	1	ENSG00000083312
WP5402	10q22q23 copy number variation	ENSG00000160188	RSPH1	ENSG00000160188	ensembl	1	ENSG00000160188
WP5402	10q22q23 copy number variation	CHEBI:57844	L-methionine, Methionine		chebi	1	CHEBI:57844
WP4657	22q11.2 copy number variation syndrome	ENSG00000113360	DROSHA	ENSG00000113360	ensembl	1	ENSG00000113360
WP4657	22q11.2 copy number variation syndrome	ENSG00000180198	RCC1	ENSG00000180198	ensembl	1	ENSG00000180198
WP4942, WP5407	15q11q13 copy number variation, 15q13.3 copy number variation syndrome	ENSG00000149257	SERPINH1	ENSG00000149257	ensembl	1	ENSG00000149257
WP4657	22q11.2 copy number variation syndrome	CHEBI:57880	1-phosphatidyl-1D-myo-inositol(1−), PtdIns		chebi	1	CHEBI:57880
WP4657	22q11.2 copy number variation syndrome	ENSG00000128191	DGCR8	ENSG00000128191	ensembl	1	ENSG00000128191
WP3584	MECP2 and associated Rett syndrome	ENSG00000064309	CDON	ENSG00000064309	ensembl	NA	ENSG00000064309
WP4657	22q11.2 copy number variation syndrome	ENSG00000207343	RNU6-225P	ENSG00000207343	ensembl	1	ENSG00000207343
WP5402	10q22q23 copy number variation	ENSG00000148600	CDHR1	ENSG00000148600	ensembl	1	ENSG00000148600
WP3584	MECP2 and associated Rett syndrome	ENSG00000147133	TAF1	ENSG00000147133	ensembl	NA	ENSG00000147133
WP4875, WP4940	15q11.2 copy number variation syndrome, Disruption of postsynaptic signaling by CNV	ENSG00000102081	FMR1	ENSG00000102081	ensembl	1	ENSG00000102081
WP4932	7q11.23 copy number variation syndrome	ENSG00000049540	ELN	ENSG00000049540	ensembl	1	ENSG00000049540
WP4906	3q29 copy number variation syndrome	ENSG00000273331	TM4SF19-TCTEX1D2	ENSG00000273331	ensembl	1	ENSG00000273331
WP4905	1q21.1 copy number variation syndrome	CHEBI:17735	N,N-dimethylaniline N-oxide		chebi	1	CHEBI:17735
WP5402	10q22q23 copy number variation	ENSG00000253251	SHLD3	ENSG00000253251	ensembl	1	ENSG00000253251
WP4657	22q11.2 copy number variation syndrome	Q994741	Nuclear transport		wikidata	1	Q994741
WP5407	15q11q13 copy number variation	ENSG00000107554	DNMBP	ENSG00000107554	ensembl	1	ENSG00000107554
WP4932	7q11.23 copy number variation syndrome	ENSG00000207741	MIR590	ENSG00000207741	ensembl	1	ENSG00000207741
WP4657	22q11.2 copy number variation syndrome	ENSG00000070413	DGCR2	ENSG00000070413	ensembl	1	ENSG00000070413
WP408	Oxidative stress response	ENSG00000074771	NOX3	ENSG00000074771	ensembl	NA	ENSG00000074771
WP3584	MECP2 and associated Rett syndrome	MIMAT0004514	hsa-miR-29b-1-5p		mirbase.mature	NA	MIMAT0004514
WP3584, WP4222, WP4906, WP5398	3q29 copy number variation syndrome, MECP2 and associated Rett syndrome, NRXN1 deletion syndrome, Phosphodiesterases in neuronal function	ENSG00000155511	AMPA, GRIA1	ENSG00000155511	ensembl	1	ENSG00000155511
WP4875	Disruption of postsynaptic signaling by CNV	ENSG00000145349	CAMK2D, CaMK2, CaMK2D	ENSG00000145349	ensembl	NA	ENSG00000145349
WP3584	MECP2 and associated Rett syndrome	MIMAT0000438	hsa-miR-152-3p		mirbase.mature	NA	MIMAT0000438
WP5407	15q11q13 copy number variation	ENSG00000198668	CALM, CALM1, CAM, CaM, Calmodulin	ENSG00000198668	ensembl	1	ENSG00000198668
WP4906	3q29 copy number variation syndrome	ENSG00000072274	TFR1, TFRC, TfR1 RNA	ENSG00000072274	ensembl	1	ENSG00000072274
WP4657	22q11.2 copy number variation syndrome	O15547	P2RX6	ENSG00000099957	uniprot	1	O15547
WP5412	8q11.23 (RB1CC1) copy number variation	ENSG00000034713	GABARAPL2	ENSG00000034713	ensembl	1	ENSG00000034713
WP4657	22q11.2 copy number variation syndrome	ENSG00000249680	TUBA3GP	ENSG00000249680	ensembl	1	ENSG00000249680
WP4222	Phosphodiesterases in neuronal function	ENSG00000061918	GUCY1B1, GUCY1B3	ENSG00000061918	ensembl	NA	ENSG00000061918
WP4222, WP4875, WP5398	Disruption of postsynaptic signaling by CNV, NRXN1 deletion syndrome, Phosphodiesterases in neuronal function	ENSG00000273079	GRIN2B	ENSG00000273079	ensembl	1	ENSG00000273079
WP4222	Phosphodiesterases in neuronal function	HMDB0001314	Cyclic GMP, cGMP		hmdb	NA	HMDB0001314
WP4932	7q11.23 copy number variation syndrome	ENSG00000074054	CLASP, CLASP1	ENSG00000074054	ensembl	1	ENSG00000074054
WP5346	8p23.1 copy number variation syndrome	ENSG00000253649	PRSS51	ENSG00000253649	ensembl	1	ENSG00000253649
WP4222	Phosphodiesterases in neuronal function	ENSG00000065989	PDE4A	ENSG00000065989	ensembl	NA	ENSG00000065989
WP4932	7q11.23 copy number variation syndrome	CHEBI:18111	rRNA		chebi	1	CHEBI:18111
WP4905	1q21.1 copy number variation syndrome	ENSG00000116128	BCL9	ENSG00000116128	ensembl	1	ENSG00000116128
WP3584	MECP2 and associated Rett syndrome	ENSG00000130005	GAMT	ENSG00000130005	ensembl	NA	ENSG00000130005
WP4906	3q29 copy number variation syndrome	ENSG00000163959	SLC51A	ENSG00000163959	ensembl	1	ENSG00000163959
WP4657	22q11.2 copy number variation syndrome	ENSG00000036257	CUL3	ENSG00000036257	ensembl	1	ENSG00000036257
WP5412	8q11.23 (RB1CC1) copy number variation	ENSG00000169398	FAK, FAK (PTK2), PTK2	ENSG00000169398	ensembl	1	ENSG00000169398
WP4942	15q13.3 copy number variation syndrome	ENSG00000119737	GPR75	ENSG00000119737	ensembl	1	ENSG00000119737
WP4905	1q21.1 copy number variation syndrome	ENSG00000171016	PYGO, PYGO1	ENSG00000171016	ensembl	1	ENSG00000171016
WP4222	Phosphodiesterases in neuronal function	ENSG00000185527	PDE6G	ENSG00000185527	ensembl	NA	ENSG00000185527
WP4657	22q11.2 copy number variation syndrome	WP2706	Activation of gene expression by SREBF (SREBP)		wikipathways	1	WP2706
WP5408	15q25 copy number variation	ENSG00000118363	SPCS2	ENSG00000118363	ensembl	1	ENSG00000118363
WP408	Oxidative stress response	2936	GSR	ENSG00000104687	ncbigene	NA	2936
WP3584, WP5398	MECP2 and associated Rett syndrome, NRXN1 deletion syndrome	ENSG00000125675	GRIA3	ENSG00000125675	ensembl	1	ENSG00000125675
WP4906	3q29 copy number variation syndrome	ENSG00000224652	LINC00885	ENSG00000224652	ensembl	1	ENSG00000224652
WP4657	22q11.2 copy number variation syndrome	22833565	Heparin		pubchem.compound	1	22833565
WP4906	3q29 copy number variation syndrome	CHEBI:57379	Palmitoyl-CoA, hexadecanoyl-CoA, palmitoyl-CoA(4−)		chebi	1	CHEBI:57379
WP408	Oxidative stress response	4257	MGST1	ENSG00000008394	ncbigene	NA	4257
WP5407	15q11q13 copy number variation	ENSG00000099365	STX1B	ENSG00000099365	ensembl	1	ENSG00000099365
WP3584, WP4906	3q29 copy number variation syndrome, MECP2 and associated Rett syndrome	ENSG00000142208	AKT, AKT1, Akt1, PKB/AKT	ENSG00000142208	ensembl	1	ENSG00000142208
WP4222	Phosphodiesterases in neuronal function	CHEBI:16015	Glu, Glu [clathrin-sculpted glutamate transport vesicle lumen], Glutamate, Glutamic acid, L-Glu, L-Glutamate, L-glutamate, L-glutamic acid		chebi	NA	CHEBI:16015
WP3584	MECP2 and associated Rett syndrome	HMDB0002393	NMDA		hmdb	NA	HMDB0002393
WP5406	13q12.12 copy number variation	ENSG00000182957	SPATA13	ENSG00000182957	ensembl	1	ENSG00000182957
WP3584	MECP2 and associated Rett syndrome	MIMAT0000279	hsa-miR-222-3p		mirbase.mature	NA	MIMAT0000279
WP5402	10q22q23 copy number variation	ENSG00000130363	RSPH3	ENSG00000130363	ensembl	1	ENSG00000130363
WP4657	22q11.2 copy number variation syndrome	ENSG00000082898	CRM1, XPO1	ENSG00000082898	ensembl	1	ENSG00000082898
WP4657	22q11.2 copy number variation syndrome	ENSG00000070010	UFD1	ENSG00000070010	ensembl	1	ENSG00000070010
WP4932	7q11.23 copy number variation syndrome	CHEBI:15414	2 * SAM, AdoMet, S-Adenosylmethionine, S-adenosyl-L-methionine, S-adenosylmethionine, SAM		chebi	1	CHEBI:15414
WP5407	15q11q13 copy number variation	IPR004031	Claudins		interpro	1	IPR004031
WP4657	22q11.2 copy number variation syndrome	ENSG00000260924	LINC01311	ENSG00000260924	ensembl	1	ENSG00000260924
WP4875, WP4940	15q11.2 copy number variation syndrome, Disruption of postsynaptic signaling by CNV	ENSG00000273749	CYFIP1	ENSG00000273749	ensembl	1	ENSG00000273749
WP4932	7q11.23 copy number variation syndrome	ENSG00000099624	ATP5D	ENSG00000099624	ensembl	1	ENSG00000099624
WP4905, WP4932, WP5346, WP5402	10q22q23 copy number variation, 1q21.1 copy number variation syndrome, 7q11.23 copy number variation syndrome, 8p23.1 copy number variation syndrome	WP428	Canonical  Wnt Signaling, Canonical Wnt signaling, WNT Signaling, WNT signaling, WNT signaling pathway, Wnt, Wnt Canonical Signaling, Wnt Pathway, Wnt Signaling, Wnt Signaling Pathway, Wnt pathway, Wnt signaling, Wnt signaling  pathway, Wnt signaling pathway		wikipathways	1	WP428
WP4906	3q29 copy number variation syndrome	CHEBI:295975	Choline phosphate(1−), Phosphocholine, phosphocholine		chebi	1	CHEBI:295975
WP4906	3q29 copy number variation syndrome	ENSG00000135837	CEP350	ENSG00000135837	ensembl	1	ENSG00000135837
WP4932	7q11.23 copy number variation syndrome	ENSG00000123472	ATPAF1	ENSG00000123472	ensembl	1	ENSG00000123472
WP4657	22q11.2 copy number variation syndrome	WP1823	GP1b-IX-V activation signaling		wikipathways	1	WP1823
WP3584	MECP2 and associated Rett syndrome	ENSG00000084093	REST	ENSG00000084093	ensembl	NA	ENSG00000084093
WP4932	7q11.23 copy number variation syndrome	ENSG00000110955	ATP5B	ENSG00000110955	ensembl	1	ENSG00000110955
WP4906	3q29 copy number variation syndrome	ENSG00000227375	DLG1-AS1	ENSG00000227375	ensembl	1	ENSG00000227375
WP5346	8p23.1 copy number variation syndrome	ENSG00000184647	PRSS55	ENSG00000184647	ensembl	1	ENSG00000184647
WP4932	7q11.23 copy number variation syndrome	ENSG00000189143	CLDN4	ENSG00000189143	ensembl	1	ENSG00000189143
WP4905, WP5407	15q11q13 copy number variation, 1q21.1 copy number variation syndrome	ENSG00000119139	TJP2	ENSG00000119139	ensembl	1	ENSG00000119139
WP4657, WP5346, WP5408	15q25 copy number variation, 22q11.2 copy number variation syndrome, 8p23.1 copy number variation syndrome	ENSG00000132155	CRAF, RAF, RAF1, Raf, Ras	ENSG00000132155	ensembl	1	ENSG00000132155
WP4657	22q11.2 copy number variation syndrome	http://rdf.wikipathways.org/Pathway/WP4657_r128796/Complex/eae08	GATOR1 complex		Complex	1	http://rdf.wikipathways.org/Pathway/WP4657_r128796/Complex/eae08
WP5407	15q11q13 copy number variation	Q9BQI6	SLF1	ENSG00000133302	uniprot	1	Q9BQI6
WP4932	7q11.23 copy number variation syndrome	ENSG00000170035	UBE2E3	ENSG00000170035	ensembl	1	ENSG00000170035
WP4932	7q11.23 copy number variation syndrome	ENSG00000141367	CLTC	ENSG00000141367	ensembl	1	ENSG00000141367
WP5408	15q25 copy number variation	ENSG00000103942	HOMER2	ENSG00000103942	ensembl	1	ENSG00000103942
WP4222	Phosphodiesterases in neuronal function	ENSG00000184588	PDE4B	ENSG00000184588	ensembl	NA	ENSG00000184588
WP4657	22q11.2 copy number variation syndrome	CHEMBL1909290	Dermatan sulfate		chembl.compound	1	CHEMBL1909290
WP4942	15q13.3 copy number variation syndrome	ENSG00000212526	RNU6-466P	ENSG00000212526	ensembl	1	ENSG00000212526
WP4932	7q11.23 copy number variation syndrome	ENSG00000188763	FZD9	ENSG00000188763	ensembl	1	ENSG00000188763
WP4906	3q29 copy number variation syndrome	ENSG00000089159	PXN	ENSG00000089159	ensembl	1	ENSG00000089159
WP3584	MECP2 and associated Rett syndrome	CHEBI:29987	Glutamate, glutamate		chebi	NA	CHEBI:29987
WP4942	15q13.3 copy number variation syndrome	ENSG00000010810	FYN	ENSG00000010810	ensembl	1	ENSG00000010810
WP4657	22q11.2 copy number variation syndrome	ENSG00000185252	ZNF74	ENSG00000185252	ensembl	1	ENSG00000185252
WP4942	15q13.3 copy number variation syndrome	ENSG00000260128	ULK4P2	ENSG00000260128	ensembl	1	ENSG00000260128
WP4657	22q11.2 copy number variation syndrome	ENSG00000093010	COMT, Catechol-O-methyltransferase	ENSG00000093010	ensembl	1	ENSG00000093010
WP4932	7q11.23 copy number variation syndrome	ENSG00000126581	BECLIN1, BECN1, Beclin1	ENSG00000126581	ensembl	1	ENSG00000126581
WP5408	15q25 copy number variation	ENSG00000166716	ZNF592	ENSG00000166716	ensembl	1	ENSG00000166716
WP4932	7q11.23 copy number variation syndrome	CHEBI:74480	N7-methylguanosine 5'-phosphate residue		chebi	1	CHEBI:74480
WP4932	7q11.23 copy number variation syndrome	WP1812	Eukaryotic Translation Initiation, Protein synthesis		wikipathways	1	WP1812
WP5407	15q11q13 copy number variation	ENSG00000185115	NSMCE3	ENSG00000185115	ensembl	1	ENSG00000185115
