"KEtitle","name","Name2","selected","Ensembl","KE_URI","AOPwiki_source"
"Encephalitis","https://identifiers.org/aop.events/1841","","false",NA,"https://identifiers.org/aop.events/1841",1
"Binding to ACE2","https://identifiers.org/aop.events/1739","","false",NA,"https://identifiers.org/aop.events/1739",1
"Antagonism, Thyroid Receptor","https://identifiers.org/aop.events/1656","","false",NA,"https://identifiers.org/aop.events/1656",1
"Inhibition, NADH-ubiquinone oxidoreductase  (complex I)","https://identifiers.org/aop.events/887","","false",NA,"https://identifiers.org/aop.events/887",1
"Binding of inhibitor, NADH-ubiquinone oxidoreductase (complex I)","https://identifiers.org/aop.events/888","","false",NA,"https://identifiers.org/aop.events/888",1
"Parkinsonian motor deficits","https://identifiers.org/aop.events/896","","false",NA,"https://identifiers.org/aop.events/896",1
"Degeneration of dopaminergic neurons of the nigrostriatal pathway","https://identifiers.org/aop.events/890","","false",NA,"https://identifiers.org/aop.events/890",1
"Impaired, Proteostasis","https://identifiers.org/aop.events/889","","false",NA,"https://identifiers.org/aop.events/889",1
"N/A, Mitochondrial dysfunction 1","https://identifiers.org/aop.events/177","","false",NA,"https://identifiers.org/aop.events/177",1
"Activation, Muscarinic Acetylcholine Receptors","https://identifiers.org/aop.events/1602","","false",NA,"https://identifiers.org/aop.events/1602",1
"Acetylcholine accumulation in synapses","https://identifiers.org/aop.events/10","","false",NA,"https://identifiers.org/aop.events/10",1
"Acetylcholinesterase (AchE) Inhibition","https://identifiers.org/aop.events/12","","false",NA,"https://identifiers.org/aop.events/12",1
"Increased, Intracellular Calcium overload","https://identifiers.org/aop.events/389","","false",NA,"https://identifiers.org/aop.events/389",1
"Status epilepticus","https://identifiers.org/aop.events/1788","","false",NA,"https://identifiers.org/aop.events/1788",1
"Occurrence, Focal Seizure","https://identifiers.org/aop.events/1623","","false",NA,"https://identifiers.org/aop.events/1623",1
"Overactivation, NMDARs","https://identifiers.org/aop.events/388","","false",NA,"https://identifiers.org/aop.events/388",1
"Sensory axonal peripheral neuropathy","https://identifiers.org/aop.events/1583","","false",NA,"https://identifiers.org/aop.events/1583",1
"Impaired axonial transport","https://identifiers.org/aop.events/1582","","false",NA,"https://identifiers.org/aop.events/1582",1
"Disturbance in microtubule dynamic instability","https://identifiers.org/aop.events/1581","","false",NA,"https://identifiers.org/aop.events/1581",1
"Binding of microtubule stabilizing agents (MSA) to microtubules","https://identifiers.org/aop.events/1580","","false",NA,"https://identifiers.org/aop.events/1580",1
"Impairment of TDAR","https://identifiers.org/aop.events/986","","false",NA,"https://identifiers.org/aop.events/986",1
"Suppression of  T cell activation","https://identifiers.org/aop.events/1702","","false",NA,"https://identifiers.org/aop.events/1702",1
"Inhibition, Nuclear factor kappa B (NF-kB)","https://identifiers.org/aop.events/202","","false",NA,"https://identifiers.org/aop.events/202",1
"Impaired IL-1R1 signaling in T cell","https://identifiers.org/aop.events/1700","","false",NA,"https://identifiers.org/aop.events/1700",1
"Neural tube defects","https://identifiers.org/aop.events/1561","","false",NA,"https://identifiers.org/aop.events/1561",1
"Altered differentiation","https://identifiers.org/aop.events/1560","","false",NA,"https://identifiers.org/aop.events/1560",1
"Altered, Gene Expression","https://identifiers.org/aop.events/1239","","false",NA,"https://identifiers.org/aop.events/1239",1
"Histone acetylation, increase","https://identifiers.org/aop.events/1503","","false",NA,"https://identifiers.org/aop.events/1503",1
"Histone deacetylase inhibition","https://identifiers.org/aop.events/1502","","false",NA,"https://identifiers.org/aop.events/1502",1
"Neurodegeneration","https://identifiers.org/aop.events/1514","","false",NA,"https://identifiers.org/aop.events/1514",1
"General Apoptosis","https://identifiers.org/aop.events/1513","","false",NA,"https://identifiers.org/aop.events/1513",1
"Unfolded Protein Response","https://identifiers.org/aop.events/1512","","false",NA,"https://identifiers.org/aop.events/1512",1
"Protein Adduct Formation","https://identifiers.org/aop.events/1509","","false",NA,"https://identifiers.org/aop.events/1509",1
"Lipid Peroxidation","https://identifiers.org/aop.events/1511","","false",NA,"https://identifiers.org/aop.events/1511",1
"Oxidative Stress in Brain","https://identifiers.org/aop.events/1510","","false",NA,"https://identifiers.org/aop.events/1510",1
"CYP2E1 Activation","https://identifiers.org/aop.events/1508","","false",NA,"https://identifiers.org/aop.events/1508",1
"Inhibition of neurotransmitter vesicle release","https://identifiers.org/aop.events/1430","","false",NA,"https://identifiers.org/aop.events/1430",1
"Inhibition of N-type Ca ion channels","https://identifiers.org/aop.events/1429","","false",NA,"https://identifiers.org/aop.events/1429",1
"Anti-depressant Activity","https://identifiers.org/aop.events/1432","","false",NA,"https://identifiers.org/aop.events/1432",1
"Serotonin 1A Receptor Agonism","https://identifiers.org/aop.events/1431","","false",NA,"https://identifiers.org/aop.events/1431",1
"hyperpolarisation, neuron","https://identifiers.org/aop.events/763","","false",NA,"https://identifiers.org/aop.events/763",1
"Opening of G protein gated inward rectifying K channels","https://identifiers.org/aop.events/1427","","false",NA,"https://identifiers.org/aop.events/1427",1
"Release of G Proteins","https://identifiers.org/aop.events/1426","","false",NA,"https://identifiers.org/aop.events/1426",1
"Decreased, intracellular chloride","https://identifiers.org/aop.events/1416","","false",NA,"https://identifiers.org/aop.events/1416",1
"Reduced, GABA-A receptor activation","https://identifiers.org/aop.events/1415","","false",NA,"https://identifiers.org/aop.events/1415",1
"Decreased, GABA","https://identifiers.org/aop.events/1414","","false",NA,"https://identifiers.org/aop.events/1414",1
"Reduced, presynaptic neuron 2 activity","https://identifiers.org/aop.events/1413","","false",NA,"https://identifiers.org/aop.events/1413",1
"Decreased, 5-HT3","https://identifiers.org/aop.events/1401","","false",NA,"https://identifiers.org/aop.events/1401",1
"Increased, synaptic release","https://identifiers.org/aop.events/1400","","false",NA,"https://identifiers.org/aop.events/1400",1
"Increased, packaged serotonin","https://identifiers.org/aop.events/1399","","false",NA,"https://identifiers.org/aop.events/1399",1
"Increased, intracellular serotonin","https://identifiers.org/aop.events/1398","","false",NA,"https://identifiers.org/aop.events/1398",1
"Increased, serotonin transporter activity","https://identifiers.org/aop.events/1397","","false",NA,"https://identifiers.org/aop.events/1397",1
"Increased, glucocorticoid receptor activity","https://identifiers.org/aop.events/1396","","false",NA,"https://identifiers.org/aop.events/1396",1
"Inactive, membrane depolarization","https://identifiers.org/aop.events/1356","","false",NA,"https://identifiers.org/aop.events/1356",1
"Increased, RDX dose","https://identifiers.org/aop.events/1357","","false",NA,"https://identifiers.org/aop.events/1357",1
"Activate, GABA-A receptor","https://identifiers.org/aop.events/1359","","false",NA,"https://identifiers.org/aop.events/1359",1
"Increase, GABA","https://identifiers.org/aop.events/1361","","false",NA,"https://identifiers.org/aop.events/1361",1
"Activate, presynaptic neuron 2","https://identifiers.org/aop.events/1360","","false",NA,"https://identifiers.org/aop.events/1360",1
"Increased, epilepsy","https://identifiers.org/aop.events/1363","","false",NA,"https://identifiers.org/aop.events/1363",1
"Increase, seizure","https://identifiers.org/aop.events/1348","","false",NA,"https://identifiers.org/aop.events/1348",1
"Increased, hippocampal hyperdepolarization","https://identifiers.org/aop.events/1362","","false",NA,"https://identifiers.org/aop.events/1362",1
"Activated, membrane depolarization","https://identifiers.org/aop.events/1355","","false",NA,"https://identifiers.org/aop.events/1355",1
"Inhibit, voltage-gated sodium channel","https://identifiers.org/aop.events/1353","","false",NA,"https://identifiers.org/aop.events/1353",1
"Treat, carbamazepine","https://identifiers.org/aop.events/1354","","false",NA,"https://identifiers.org/aop.events/1354",1
"Activated, voltage-gated sodium channel","https://identifiers.org/aop.events/1352","","false",NA,"https://identifiers.org/aop.events/1352",1
"Activated, NMDA receptor","https://identifiers.org/aop.events/1351","","false",NA,"https://identifiers.org/aop.events/1351",1
"Increased, glutamate","https://identifiers.org/aop.events/1350","","false",NA,"https://identifiers.org/aop.events/1350",1
"Activated, presynaptic neuron 1","https://identifiers.org/aop.events/1349","","false",NA,"https://identifiers.org/aop.events/1349",1
"Reduced, BDNF (Brain-derived neurotrophic factor)","https://identifiers.org/aop.events/1335","","false",NA,"https://identifiers.org/aop.events/1335",1
"Activation, Glucocorticoid Receptor","https://identifiers.org/aop.events/122","","false",NA,"https://identifiers.org/aop.events/122",1
"Increase, cortisone","https://identifiers.org/aop.events/1334","","false",NA,"https://identifiers.org/aop.events/1334",1
"Increased, depression","https://identifiers.org/aop.events/1346","","false",NA,"https://identifiers.org/aop.events/1346",1
"Increased, agitation","https://identifiers.org/aop.events/1345","","false",NA,"https://identifiers.org/aop.events/1345",1
"Decreased, neuroplasticity","https://identifiers.org/aop.events/1330","","false",NA,"https://identifiers.org/aop.events/1330",1
"Reduce expression, BDNF (Brain-derived neurotrophic factor)","https://identifiers.org/aop.events/1329","","false",NA,"https://identifiers.org/aop.events/1329",1
"Increased, seizure","https://identifiers.org/aop.events/1344","","false",NA,"https://identifiers.org/aop.events/1344",1
"Increase, hypertension","https://identifiers.org/aop.events/1343","","false",NA,"https://identifiers.org/aop.events/1343",1
"Increase, vascular smooth muscle contraction","https://identifiers.org/aop.events/1342","","false",NA,"https://identifiers.org/aop.events/1342",1
"Increase, myosin light chain phosphorylation","https://identifiers.org/aop.events/1341","","false",NA,"https://identifiers.org/aop.events/1341",1
"Activate, calmodulin","https://identifiers.org/aop.events/1340","","false",NA,"https://identifiers.org/aop.events/1340",1
"Increase, intracellular calcium","https://identifiers.org/aop.events/1339","","false",NA,"https://identifiers.org/aop.events/1339",1
"Increase, inositol triphosphate","https://identifiers.org/aop.events/1338","","false",NA,"https://identifiers.org/aop.events/1338",1
"Activate, PLC (Phospholipase C)","https://identifiers.org/aop.events/1337","","false",NA,"https://identifiers.org/aop.events/1337",1
"Activation, 5-HT2A (Serotonin 2A)","https://identifiers.org/aop.events/1336","","false",NA,"https://identifiers.org/aop.events/1336",1
"Inactivated, 5-HTR (serotonin receptors)","https://identifiers.org/aop.events/1328","","false",NA,"https://identifiers.org/aop.events/1328",1
"Increased, 5-HT3 (5-hydroxytryptamine)","https://identifiers.org/aop.events/1326","","false",NA,"https://identifiers.org/aop.events/1326",1
"Decreased, extracellular serotonin","https://identifiers.org/aop.events/1347","","false",NA,"https://identifiers.org/aop.events/1347",1
"Decreased, synaptic release","https://identifiers.org/aop.events/1325","","false",NA,"https://identifiers.org/aop.events/1325",1
"Decreased, packaged serotonin","https://identifiers.org/aop.events/1324","","false",NA,"https://identifiers.org/aop.events/1324",1
"Decreased, intracellular serotonin","https://identifiers.org/aop.events/1323","","false",NA,"https://identifiers.org/aop.events/1323",1
"Increased, extracellular serotonin","https://identifiers.org/aop.events/1320","","false",NA,"https://identifiers.org/aop.events/1320",1
"Decreased, extracellular chloride (Cl-)","https://identifiers.org/aop.events/1319","","false",NA,"https://identifiers.org/aop.events/1319",1
"Decreased, extracellular sodium (Na+)","https://identifiers.org/aop.events/1318","","false",NA,"https://identifiers.org/aop.events/1318",1
"Increased, intracellular chloride (Cl-)","https://identifiers.org/aop.events/1322","","false",NA,"https://identifiers.org/aop.events/1322",1
"Increased, intracellular sodium (Na+)","https://identifiers.org/aop.events/1321","","false",NA,"https://identifiers.org/aop.events/1321",1
"Decreased, serotonin transporter activity","https://identifiers.org/aop.events/1317","","false",NA,"https://identifiers.org/aop.events/1317",1
"Decreased protection against oxidative stress","https://identifiers.org/aop.events/1538","","false",NA,"https://identifiers.org/aop.events/1538",1
"Binding, Thiol/seleno-proteins involved in protection against oxidative stress","https://identifiers.org/aop.events/1487","","false",NA,"https://identifiers.org/aop.events/1487",1
"Increased Pro-inflammatory mediators","https://identifiers.org/aop.events/1493","","false",NA,"https://identifiers.org/aop.events/1493",1
"Tissue resident cell activation","https://identifiers.org/aop.events/1492","","false",NA,"https://identifiers.org/aop.events/1492",1
"Glutamate dyshomeostasis","https://identifiers.org/aop.events/1488","","false",NA,"https://identifiers.org/aop.events/1488",1
"Oxidative Stress","https://identifiers.org/aop.events/1392","","false",NA,"https://identifiers.org/aop.events/1392",1
"Increased, Clearance of thyroxine from serum","https://identifiers.org/aop.events/961","","false",NA,"https://identifiers.org/aop.events/961",1
"Increased, Free serum thyroxine (T4)","https://identifiers.org/aop.events/959","","false",NA,"https://identifiers.org/aop.events/959",1
"Displacement, Serum thyroxine (T4) from transthyretin","https://identifiers.org/aop.events/958","","false",NA,"https://identifiers.org/aop.events/958",1
"Binding, Transthyretin in serum","https://identifiers.org/aop.events/957","","false",NA,"https://identifiers.org/aop.events/957",1
"Hippocampal Physiology, Altered","https://identifiers.org/aop.events/758","","false",NA,"https://identifiers.org/aop.events/758",1
"Hippocampal anatomy, Altered","https://identifiers.org/aop.events/757","","false",NA,"https://identifiers.org/aop.events/757",1
"Hippocampal gene expression, Altered","https://identifiers.org/aop.events/756","","false",NA,"https://identifiers.org/aop.events/756",1
"Decrease of Thyroidal iodide","https://identifiers.org/aop.events/425","","false",NA,"https://identifiers.org/aop.events/425",1
"Inhibition, Na+/I- symporter (NIS)","https://identifiers.org/aop.events/424","","false",NA,"https://identifiers.org/aop.events/424",1
"Cognitive Function, Decreased","https://identifiers.org/aop.events/402","","false",NA,"https://identifiers.org/aop.events/402",1
"Thyroxine (T4) in neuronal tissue, Decreased","https://identifiers.org/aop.events/280","","false",NA,"https://identifiers.org/aop.events/280",1
"Thyroxine (T4) in serum, Decreased","https://identifiers.org/aop.events/281","","false",NA,"https://identifiers.org/aop.events/281",1
"Thyroid hormone synthesis, Decreased","https://identifiers.org/aop.events/277","","false",NA,"https://identifiers.org/aop.events/277",1
"Decrease of neuronal network function","https://identifiers.org/aop.events/386","","false",NA,"https://identifiers.org/aop.events/386",1
"Decrease of synaptogenesis","https://identifiers.org/aop.events/385","","false",NA,"https://identifiers.org/aop.events/385",1
"Reduced, Presynaptic release of glutamate","https://identifiers.org/aop.events/383","","false",NA,"https://identifiers.org/aop.events/383",1
"Aberrant, Dendritic morphology","https://identifiers.org/aop.events/382","","false",NA,"https://identifiers.org/aop.events/382",1
"Cell injury/death","https://identifiers.org/aop.events/55","","false",NA,"https://identifiers.org/aop.events/55",1
"Reduced levels of BDNF","https://identifiers.org/aop.events/381","","false",NA,"https://identifiers.org/aop.events/381",1
"Binding of antagonist, NMDA receptors","https://identifiers.org/aop.events/201","","false",NA,"https://identifiers.org/aop.events/201",1
"Decreased, Calcium influx","https://identifiers.org/aop.events/52","","false",NA,"https://identifiers.org/aop.events/52",1
"Inhibition, NMDARs","https://identifiers.org/aop.events/195","","false",NA,"https://identifiers.org/aop.events/195",1
"Neuroinflammation","https://identifiers.org/aop.events/188","","false",NA,"https://identifiers.org/aop.events/188",1
"Impairment, Learning and memory","https://identifiers.org/aop.events/341","","false",NA,"https://identifiers.org/aop.events/341",1
"N/A, Neurodegeneration","https://identifiers.org/aop.events/352","","false",NA,"https://identifiers.org/aop.events/352",1
"Binding at picrotoxin site, iGABAR chloride channel","https://identifiers.org/aop.events/667","","false",NA,"https://identifiers.org/aop.events/667",1
"Generation, Amplified excitatory postsynaptic potential (EPSP)","https://identifiers.org/aop.events/682","","false",NA,"https://identifiers.org/aop.events/682",1
"Reduction, Neuronal synaptic inhibition","https://identifiers.org/aop.events/669","","false",NA,"https://identifiers.org/aop.events/669",1
"Reduction, Ionotropic GABA receptor chloride channel conductance","https://identifiers.org/aop.events/64","","false",NA,"https://identifiers.org/aop.events/64",1
"Occurrence, Epileptic seizure","https://identifiers.org/aop.events/613","","false",NA,"https://identifiers.org/aop.events/613",1
"Occurrence, A paroxysmal depolarizing shift","https://identifiers.org/aop.events/616","","false",NA,"https://identifiers.org/aop.events/616",1
"","ENSG00000136869","TLR4","false","ENSG00000136869",NA,1
"","ENSG00000165264","NDUFB6","false","ENSG00000165264",NA,1
"","ENSG00000101438","SLC32A1","false","ENSG00000101438",NA,1
"","ENSG00000118271","TTR","false","ENSG00000118271",NA,1
"","ENSG00000175206","NPPA","false","ENSG00000175206",NA,1
"","ENSG00000147571","CRH","false","ENSG00000147571",NA,1
"","ENSG00000109320","NFKB1","false","ENSG00000109320",NA,1
"","ENSG00000141510","TP53","false","ENSG00000141510",NA,1
"","ENSG00000113520","IL4","false","ENSG00000113520",NA,1
"","ENSG00000109471","IL2","false","ENSG00000109471",NA,1
"","ENSG00000015475","BID","false","ENSG00000015475",NA,1
"","ENSG00000177606","JUN","false","ENSG00000177606",NA,1
"","ENSG00000136244","IL6","false","ENSG00000136244",NA,1
"","ENSG00000169194","IL13","false","ENSG00000169194",NA,1
"","ENSG00000125740","FOSB","false","ENSG00000125740",NA,1
"","ENSG00000170345","FOS","false","ENSG00000170345",NA,1
"","ENSG00000164733","CTSB","false","ENSG00000164733",NA,1
"","ENSG00000100294","MCAT","false","ENSG00000100294",NA,1
"","ENSG00000160868","CYP3A4","false","ENSG00000160868",NA,1
"","ENSG00000140505","CYP1A2","false","ENSG00000140505",NA,1
"","ENSG00000197408","CYP2B6","false","ENSG00000197408",NA,1
"","ENSG00000163599","CTLA4","false","ENSG00000163599",NA,1
"","ENSG00000128683","GAD1","false","ENSG00000128683",NA,1
"","ENSG00000176697","BDNF","false","ENSG00000176697",NA,1
"","ENSG00000125538","IL1B","false","ENSG00000125538",NA,1
"","ENSG00000107643","MAPK8","false","ENSG00000107643",NA,1
"","ENSG00000171791","BCL2","false","ENSG00000171791",NA,1
"","ENSG00000172071","EIF2AK3","false","ENSG00000172071",NA,1
"","ENSG00000130649","CYP2E1","false","ENSG00000130649",NA,1
"","ENSG00000077782","FGFR1","false","ENSG00000077782",NA,1
"","ENSG00000048052","HDAC9","false","ENSG00000048052",NA,1
