KEtitle	AOPtitle
Reduced levels of BDNF	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities
Reduced levels of BDNF	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging
Reduced levels of BDNF	Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment
Tissue resident cell activation	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory
Tissue resident cell activation	Deposition of Energy Leading to Learning and Memory Impairment
Tissue resident cell activation	Increased DNA damage leading to increased risk of breast cancer
Tissue resident cell activation	Increased reactive oxygen and nitrogen species (RONS) leading to increased risk of breast cancer
Tissue resident cell activation	Protein Alkylation leading to Liver Fibrosis
Increased, Uptake of thyroxine into tissue	Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
Increased Pro-inflammatory mediators	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory
Increased Pro-inflammatory mediators	Deposition of Energy by Ionizing Radiation leading to Acute Myeloid Leukemia
Increased Pro-inflammatory mediators	Deposition of energy leads to vascular remodeling
Increased Pro-inflammatory mediators	Dysregulated prolonged Toll Like Receptor 9 (TLR9) activation leading to Multi Organ Failure involving Acute Respiratory Distress Syndrome (ARDS)
Increased Pro-inflammatory mediators	Endocytic lysosomal uptake leading to liver fibrosis
Increased Pro-inflammatory mediators	Increased DNA damage leading to increased risk of breast cancer
Increased Pro-inflammatory mediators	Increased reactive oxygen and nitrogen species (RONS) leading to increased risk of breast cancer
Increased Pro-inflammatory mediators	Protein Alkylation leading to Liver Fibrosis
General Apoptosis	CYP2E1 activation and formation of protein adducts leading to neurodegeneration
General Apoptosis	Reactive Oxygen (ROS) formation leads to cancer via Peroxisome proliferation-activated receptor (PPAR) pathway
General Apoptosis	Reactive Oxygen Species (ROS) formation leads to cancer via inflammation pathway
