"CNVassociated","DisGeNETname","Ensembl","fromDisGeNET","fromPublication","fromSTRING","fromWikiPathways","gLayCluster","name","name.copy","Name2","PathwayID","Publication.doi","selected","shared name","snpID"
"1",,"ENSG00000212146",,,,"1","82","RNU6-910P","RNU6-910P","RNU6-910P","WP4906",,"false","RNU6-910P",
"1",,"ENSG00000206972",,,,"1","83","RNU6-17P","RNU6-17P","RNU6-17P","WP4942",,"false","RNU6-17P",
"1",,"ENSG00000241527",,,,"1","84","CA15P1","CA15P1","CA15P1","WP4657",,"false","CA15P1",
"1",,"ENSG00000244296",,,,"1","85","RN7SL168P","RN7SL168P","RN7SL168P","WP4657",,"false","RN7SL168P",
"1",,"ENSG00000229107",,,,"1","86","ABHD17AP4","ABHD17AP4","ABHD17AP4","WP4657",,"false","ABHD17AP4",
"1",,"ENSG00000215544",,,,"1","87","BCRP7","BCRP7","BCRP7","WP4657",,"false","BCRP7",
"1",,"ENSG00000286172",,,,"1","88","RNVU1-8","RNVU1-8","RNVU1-8","WP4905",,"false","RNVU1-8",
,"SOD2","ENSG00000291237","1",,,"1","89","6648;SOD2","SOD2","SOD2","WP408",,"false","6648;SOD2",
"1",,"ENSG00000263643",,,,"1","90","MIR4515","MIR4515","MIR4515","WP5408",,"false","MIR4515",
"1",,"ENSG00000231086",,,,"1","91","TSSK1A","TSSK1A","TSSK1A","WP4657",,"false","TSSK1A",
"1",,"ENSG00000284031",,,,"1","92","hsa-mir-4761","hsa-mir-4761","MIR4761","WP4657",,"false","hsa-mir-4761",
"1",,"ENSG00000259890",,,,"1","93","DNM1P50","DNM1P50","DNM1P50","WP4942",,"false","DNM1P50",
"1",,"ENSG00000252538",,,,"1","94","RNU6-1070P","RNU6-1070P",,"WP4932",,"false","RNU6-1070P",
"1",,"ENSG00000229404",,,,"1","95","LINC00858","LINC00858","LINC00858","WP5402",,"false","LINC00858",
,,"ENSG00000109339",,,,"1","96","MAPK10","MAPK10","MAPK10","WP408",,"false","MAPK10",
"1",,"ENSG00000103832",,,,"1","97","GOLGA8UP","GOLGA8UP","GOLGA8UP","WP4942",,"false","GOLGA8UP",
"1",,"ENSG00000255394",,,,"1","98","C8orf49","C8orf49",,"WP5346",,"false","C8orf49",
"1",,"ENSG00000239511",,,,"1","99","POM121L7P","POM121L7P","POM121L7P","WP4657",,"false","POM121L7P",
"1",,"ENSG00000236806",,,,"1","100","RPL7AP15","RPL7AP15","RPL7AP15","WP4905",,"false","RPL7AP15",
"1",,"ENSG00000237517",,,,"1","101","DGCR5, LINC00037;ENSG00000237517","DGCR5, LINC00037","CELSR1P1","WP4657",,"false","DGCR5, LINC00037;ENSG00000237517",
"1",,"ENSG00000239122",,,,"1","102","RNU2-11P","RNU2-11P","RNU2-11P","WP4906",,"false","RNU2-11P",
,"GSTT2","ENSG00000099984","1",,,"1","103","2953;GSTT2","GSTT2","GSTT2","WP408",,"false","2953;GSTT2",
"1",,"ENSG00000255156",,,,"1","104","RNY1P9","RNY1P9","RNY1P9","WP4657",,"false","RNY1P9",
"1",,"ENSG00000238391",,,,"1","105","RNA5SP233","RNA5SP233","RNA5SP233","WP4932",,"false","RNA5SP233",
"1",,"ENSG00000225822",,,,"1","106","UBXN7-AS1","UBXN7-AS1","UBXN7-AS1","WP4906",,"false","UBXN7-AS1",
"1",,"ENSG00000278811",,,,"1","107","LINC00624","LINC00624","LINC00624","WP4905",,"false","LINC00624",
,"OPRK1","ENSG00000082556","1",,,"1","108","4986;OPRK1","OPRK1","OPRK1","WP3584",,"false","4986;OPRK1",
"1",,"ENSG00000235897",,,,"1","109","TM4SF19-AS1","TM4SF19-AS1","TM4SF19-AS1","WP4906",,"false","TM4SF19-AS1",
"1",,"ENSG00000236670",,,,"1","110","KRT18P5","KRT18P5","KRT18P5","WP4657",,"false","KRT18P5",
"1","MIR346","ENSG00000199104","1",,,"1","111","442911;MIR346","MIR346","MIR346","WP5402",,"false","442911;MIR346",
"1",,"ENSG00000284464",,,,"1","112","hsa-mir-1306","hsa-mir-1306","MIR1306","WP4657",,"false","hsa-mir-1306",
"1",,"ENSG00000250261",,,,"1","113","CCDC74BP1","CCDC74BP1","CCDC74BP1","WP4657",,"false","CCDC74BP1",
"1",,"ENSG00000232415",,,,"1","114","ELN-AS1","ELN-AS1","ELN-AS1","WP4932",,"false","ELN-AS1",
"1",,"ENSG00000201441",,,,"1","115","RNU6-646P","RNU6-646P","RNU6-646P","WP4906",,"false","RNU6-646P",
"1",,"ENSG00000281548",,,,"1","116","LINC00895","LINC00895","LINC00895","WP4657",,"false","LINC00895",
"1",,"ENSG00000201142",,,,"1","117","RNU1-151P","RNU1-151P","RNU1-151P","WP4905",,"false","RNU1-151P",
"1",,"ENSG00000233487",,,,"1","118","RPSAP69","RPSAP69","RPSAP69","WP4906",,"false","RPSAP69",
"1",,"ENSG00000264346",,,,"1","119","SNORA77B","SNORA77B","SNORA77B","WP4657",,"false","SNORA77B",
"1",,"ENSG00000232977",,,,"1","120","LINC00327","LINC00327","LINC00327","WP5406",,"false","LINC00327",
"1",,"ENSG00000265724",,,,"1","121","hsa-mir-4284","hsa-mir-4284","MIR4284","WP4932",,"false","hsa-mir-4284",
"1",,"ENSG00000226015",,,,"1","122","CCT8P1","CCT8P1","CCT8P1","WP4905",,"false","CCT8P1",
"1",,"ENSG00000161149",,,,"1","123","TUBA3FP","TUBA3FP",,"WP4657",,"false","TUBA3FP",
"1",,"ENSG00000225969",,,,"1","124","ABHD11-AS1","ABHD11-AS1","ABHD11-AS1","WP4932",,"false","ABHD11-AS1",
"1",,"ENSG00000277031",,,,"1","125","RN7SL796P","RN7SL796P","RN7SL796P","WP4942",,"false","RN7SL796P",
"1",,"ENSG00000244371",,,,"1","126","PFN1P8","PFN1P8","PFN1P8","WP4905",,"false","PFN1P8",
"1",,"ENSG00000259179",,,,"1","127","UBE2CP4","UBE2CP4","UBE2CP4","WP4942",,"false","UBE2CP4",
"1",,"ENSG00000277762",,,,"1","128","RN7SL261P","RN7SL261P","RN7SL261P","WP4905",,"false","RN7SL261P",
"1",,"ENSG00000207924",,,,"1","129","MI0000279;hsa-mir-196a-2","hsa-mir-196a-2","MIR196A2","WP5398",,"false","MI0000279;hsa-mir-196a-2",
"1",,"ENSG00000244682",,,,"1","130","ENSG00000244682;FCGR2C","FCGR2C","FCGR2C","WP5346",,"false","ENSG00000244682;FCGR2C",
"1",,"ENSG00000259845",,,,"1","131","HERC2P10","HERC2P10","HERC2P10","WP4942",,"false","HERC2P10",
"1",,"ENSG00000278696",,,,"1","132","RN7SL82P","RN7SL82P","RN7SL82P","WP4942",,"false","RN7SL82P",
"1",,"ENSG00000169668",,,,"1","133","BCRP2","BCRP2","BCRP2","WP4657",,"false","BCRP2",
"1",,"ENSG00000238125",,,,"1","134","SLC9A3P2","SLC9A3P2","SLC9A3P2","WP4657",,"false","SLC9A3P2",
"1",,"ENSG00000274424",,,,"1","135","RN7SL196P","RN7SL196P","RN7SL196P","WP4942",,"false","RN7SL196P",
,,"ENSG00000253553",,"1",,,"136","RP11-586K2.1","RP11-586K2.1",,,"10.1038/s41586-022-04434-5","false","RP11-586K2.1","rs1915019"
,,"ENSG00000272335",,"1",,,"137","RP11-53O19.3","RP11-53O19.3",,,"10.1038/s41586-022-04434-5","false","RP11-53O19.3","rs10035564"
,,"ENSG00000259616",,"1",,,"138","RP11-507B12.2","RP11-507B12.2",,,"10.1038/s41586-022-04434-5","false","RP11-507B12.2","rs35351411"
,,"ENSG00000259946",,"1",,,"139","RP11-490G2.2","RP11-490G2.2",,,"10.1038/s41586-022-04434-5","false","RP11-490G2.2","rs1198588"
,,"ENSG00000234840",,"1",,,"140","RP11-399D6.2","RP11-399D6.2","LINC01239",,"10.1038/s41586-022-04434-5","false","RP11-399D6.2","rs505061"
,,"ENSG00000227603",,"1",,,"141","RP11-165J3.6","RP11-165J3.6",,,"10.1038/s41586-022-04434-5","false","RP11-165J3.6","rs6479487"
,,"ENSG00000246560",,"1",,,"142","RP11-10L12.4","RP11-10L12.4","UBE2D3-AS1",,"10.1038/s41586-022-04434-5","false","RP11-10L12.4","rs13107325"
,,"ENSG00000141140",,"1",,,"143","MYO19","MYO19",,,"10.1038/s41586-022-04434-5","false","MYO19","rs11263770"
,,"ENSG00000249307",,"1",,,"144","LINC01088","LINC01088","LINC01088",,"10.1038/s41586-022-04434-5","false","LINC01088","rs28454198"
,,"ENSG00000227676",,"1",,,"145","LINC01068","LINC01068","LINC01068",,"10.1038/s41586-022-04434-5","false","LINC01068","rs9545047"
,,"ENSG00000224924",,"1",,,"146","LINC00320","LINC00320","LINC00320",,"10.1038/s41586-022-04434-5","false","LINC00320","rs459391"
,,"ENSG00000262319",,"1",,,"147","ENSG00000262319","ENSG00000262319",,,"10.1038/s41586-022-04434-5","false","ENSG00000262319","rs959071"
,,"ENSG00000206129",,"1",,,"148","CTD-2008L17.2","CTD-2008L17.2",,,"10.1038/s41586-022-04434-5","false","CTD-2008L17.2","rs715170"
,,"ENSG00000163016",,"1",,,"149","ALMS1P","ALMS1P","ALMS1P1",,"10.1038/s41586-022-04434-5","false","ALMS1P","rs6546857"
,,"ENSG00000231200",,"1",,,"150","AC068490.2","AC068490.2",,,"10.1038/s41586-022-04434-5","false","AC068490.2","rs12712510"
,"HLA-DQB1","ENSG00000179344","1",,,,"151","3119","3119","HLA-DQB1",,,"false","3119",
"1",,"ENSG00000163975",,,,"1","152","ENSG00000163975;MELTF","MELTF","MELTF","WP4906",,"false","ENSG00000163975;MELTF",
"1",,"ENSG00000027001",,,,"1","153","MIPEP","MIPEP","MIPEP","WP5406",,"false","MIPEP",
"1",,"ENSG00000104059",,,,"1","154","ENTREP2","ENTREP2","FAM189A1","WP5407",,"false","ENTREP2",
,"WNK3","ENSG00000196632","1",,,,"155","65267","65267","WNK3",,,"false","65267",
,"TIGAR","ENSG00000078237","1",,,,"156","57103","57103","TIGAR",,,"false","57103",
,"DAAM2","ENSG00000146122","1",,,,"157","23500","23500","DAAM2",,,"false","23500",
"1","FYN","ENSG00000010810","1",,,"1","157","2534;ENSG00000010810;FYN","FYN","FYN","WP4942",,"false","2534;ENSG00000010810;FYN",
,"WDR11","ENSG00000120008","1",,,,"158","55717","55717","WDR11",,,"false","55717",
,"HLA-B","ENSG00000234745","1",,,,"159","3106","3106","HLA-B",,,"false","3106",
,"MMP3","ENSG00000149968","1",,,,"157","4314","4314","MMP3",,,"false","4314",
"1",,"ENSG00000119333",,,,"1","160","WDR34","WDR34","DYNC2I2","WP4906",,"false","WDR34",
"1",,"ENSG00000183153",,,,"1","161","ENSG00000183153;GJD3","GJD3","GJD3","WP5407",,"false","ENSG00000183153;GJD3",
,"ST3GAL1","ENSG00000008513","1",,,,"162","6482","6482","ST3GAL1",,,"false","6482",
"1","MAG","ENSG00000105695","1",,,"1","163","4099;ENSG00000105695;MAG","MAG","MAG","WP3584, WP4657, WP5406",,"false","4099;ENSG00000105695;MAG",
,"FADS1","ENSG00000149485","1",,,,"164","3992","3992","FADS1",,,"false","3992",
"1",,"ENSG00000132639",,,,"1","165","SNAP25","SNAP25","SNAP25","WP4932",,"false","SNAP25",
,"PTPRA","ENSG00000132670","1",,,,"157","5786","5786","PTPRA",,,"false","5786",
,,"ENSG00000137154",,,,"1","166","ENSG00000137154;RPS6, S6","RPS6, S6","RPS6","WP3584",,"false","ENSG00000137154;RPS6, S6",
"1","CHRFAM7A","ENSG00000166664","1",,,"1","167","89832;CHRFAM7A","CHRFAM7A","CHRFAM7A","WP4942",,"false","89832;CHRFAM7A",
,,"ENSG00000148660",,,,"1","168","CAMK2G, CaMK2G","CAMK2G, CaMK2G","CAMK2G","WP4875",,"false","CAMK2G, CaMK2G",
"1",,"ENSG00000172175",,,,"1","157","ENSG00000172175;MALT1","MALT1","MALT1","WP4657",,"false","ENSG00000172175;MALT1",
"1",,"ENSG00000173273",,,,"1","157","ENSG00000173273;TNKS","TNKS","TNKS","WP5346",,"false","ENSG00000173273;TNKS",
,"PLXNA2","ENSG00000076356","1",,,,"169","5362","5362","PLXNA2",,,"false","5362",
"1","GRIN3A","ENSG00000198785","1",,,"1","168","116443;GRIN3A","GRIN3A","GRIN3A","WP5398",,"false","116443;GRIN3A",
,"ELOVL5","ENSG00000012660","1",,,,"170","60481","60481","ELOVL5",,,"false","60481",
"1",,"ENSG00000163964",,,,"1","171","PIGX","PIGX","PIGX","WP4906",,"false","PIGX",
"1","NLGN1","ENSG00000169760","1",,,"1","168","22871;ENSG00000169760;NLGN1","NLGN1","NLGN1","WP4875, WP5398",,"false","22871;ENSG00000169760;NLGN1",
"1",,"ENSG00000111834",,,,"1","172","RSPH4A","RSPH4A","RSPH4A","WP5402",,"false","RSPH4A",
,"SLC6A12","ENSG00000111181","1",,,,"173","6539","6539","SLC6A12",,,"false","6539",
"1",,"ENSG00000124688",,,,"1","174","ENSG00000124688;MAD2L1BP","MAD2L1BP","MAD2L1BP","WP4906",,"false","ENSG00000124688;MAD2L1BP",
,"TAP1","ENSG00000168394","1",,,"1","159","6890;TAP1","TAP1","TAP1","WP3584",,"false","6890;TAP1",
,,"ENSG00000127152",,"1",,,"175","BCL11B","BCL11B","BCL11B",,"10.1038/s41586-022-04434-5","false","BCL11B","rs1540840"
"1",,"ENSG00000163960",,,,"1","176","ENSG00000163960;UBXN7","UBXN7","UBXN7","WP4906",,"false","ENSG00000163960;UBXN7",
"1",,"ENSG00000163959",,,,"1","177","SLC51A","SLC51A","SLC51A","WP4906",,"false","SLC51A",
"1",,"ENSG00000163958",,,,"1","178","ZDHHC19","ZDHHC19","ZDHHC19","WP4906",,"false","ZDHHC19",
,"GAP43","ENSG00000172020","1",,,,"165","2596","2596","GAP43",,,"false","2596",
,"TCF7L2","ENSG00000148737","1",,,,"157","6934","6934","TCF7L2",,,"false","6934",
,"AKAP5","ENSG00000179841","1",,,,"168","9495","9495","AKAP5",,,"false","9495",
,"GABRA4","ENSG00000109158","1",,,,"165","2557","2557","GABRA4",,,"false","2557",
"1",,"ENSG00000143627",,,,"1","159","ENSG00000143627;PKLR","PKLR","PKLR","WP4932",,"false","ENSG00000143627;PKLR",
,"ITIH1","ENSG00000055957","1",,,,"179","3697","3697","ITIH1",,,"false","3697",
"1",,"ENSG00000050820",,,,"1","157","BCAR1","BCAR1","BCAR1","WP5399",,"false","BCAR1",
"1","CTNNB1","ENSG00000168036","1",,,"1","157","1499;B-Catenin, CTNNB1;ENSG00000168036","B-Catenin, CTNNB1","CTNNB1","WP4905, WP4932, WP5346",,"false","1499;B-Catenin, CTNNB1;ENSG00000168036",
,"MAP6","ENSG00000171533","1",,,,"180","4135","4135","MAP6",,,"false","4135",
,"TREM1","ENSG00000124731","1",,,,"181","54210","54210","TREM1",,,"false","54210",
,"BLOC1S3","ENSG00000189114","1",,,,"160","388552","388552","BLOC1S3",,,"false","388552",
"1",,"ENSG00000156831",,,,"1","182","NSMCE2","NSMCE2","NSMCE2","WP5407",,"false","NSMCE2",
,"GABBR1","ENSG00000204681","1",,,,"165","2550","2550","GABBR1",,,"false","2550",
"1",,"ENSG00000271503",,,,"1","157","CCL5;ENSG00000271503","CCL5","CCL5","WP4942, WP5407",,"false","CCL5;ENSG00000271503",
,"GFRA2","ENSG00000168546","1",,,,"157","2675","2675","GFRA2",,,"false","2675",
,"LARS2","ENSG00000011376","1",,,,"183","23395","23395","LARS2",,,"false","23395",
"1","CALM1","ENSG00000198668","1",,,"1","168","801;CALM, CALM1, CAM, CaM, Calmodulin;ENSG00000198668","CALM, CALM1, CAM, CaM, Calmodulin","CALM1","WP5407",,"false","801;CALM, CALM1, CAM, CaM, Calmodulin;ENSG00000198668",
,,"ENSG00000183166",,"1",,,"184","CALN1","CALN1","CALN1",,"10.1038/s41586-022-04434-5","false","CALN1","rs2944821"
,"TLR3","ENSG00000164342","1",,,,"157","7098","7098","TLR3",,,"false","7098",
,"LILRB1","ENSG00000104972","1",,,,"159","10859","10859","LILRB1",,,"false","10859",
"1",,"ENSG00000168487",,,,"1","185","BMP, BMP1;ENSG00000168487","BMP, BMP1","BMP1","WP5346",,"false","BMP, BMP1;ENSG00000168487",
"1",,"ENSG00000137822",,,,"1","186","TUBGCP4","TUBGCP4","TUBGCP4","WP4940",,"false","TUBGCP4",
,"MED12","ENSG00000184634","1",,,,"187","9968","9968","MED12",,,"false","9968",
"1","NRG1","ENSG00000157168","1",,,"1","157","3084;ENSG00000157168;NRG1","NRG1","NRG1","WP4932",,"false","3084;ENSG00000157168;NRG1",
,"RCBTB1","ENSG00000136144","1",,,,"188","55213","55213","RCBTB1",,,"false","55213",
,"SOX5","ENSG00000134532","1",,,,"175","6660","6660","SOX5",,,"false","6660",
,"DRD1","ENSG00000184845","1",,,"1","155","1812;DRD1;ENSG00000184845","DRD1","DRD1","WP4222",,"false","1812;DRD1;ENSG00000184845",
,"GLUL","ENSG00000135821","1",,,,"189","2752","2752","GLUL",,,"false","2752",
,"DNMT3L","ENSG00000142182","1",,,,"175","29947","29947","DNMT3L",,,"false","29947",
,"LRRTM1","ENSG00000162951","1",,,,"168","347730","347730","LRRTM1",,,"false","347730",
,"C4BPA","ENSG00000123838","1",,,,"190","722","722","C4BPA",,,"false","722",
,,"ENSG00000204969",,"1",,,"191","PCDHA2","PCDHA2","PCDHA2",,"10.1038/s41586-022-04434-5","false","PCDHA2","rs10069930"
,,"ENSG00000008394",,,,"1","189","MGST1","MGST1","MGST1","WP408",,"false","MGST1",
,"TAP2","ENSG00000204267","1",,,,"159","6891","6891","TAP2",,,"false","6891",
,"KCTD12","ENSG00000178695","1",,,,"192","115207","115207","KCTD12",,,"false","115207",
"1",,"ENSG00000104067",,,,"1","161","ENSG00000104067;TJP1","TJP1","TJP1","WP4875, WP4905, WP5407",,"false","ENSG00000104067;TJP1",
,"GABRB2","ENSG00000145864","1",,,,"165","2561","2561","GABRB2",,,"false","2561",
"1",,"ENSG00000100387",,,,"1","175","RBX1","RBX1","RBX1","WP4657",,"false","RBX1",
"1",,"ENSG00000099624",,,,"1","193","ATP5D","ATP5D","ATP5F1D","WP4932",,"false","ATP5D",
,"HAGH","ENSG00000063854","1",,,,"194","3029","3029","HAGH",,,"false","3029",
