Ensembl_source	Ensembl	CNVassociated	gLayCluster_target	gLayCluster	N_nodes	Publication_source	STRING_source	DisGeNET_source	WikiPathways_source	WikiPathways_CNV	WikiPathways_noCNV	summary_term
ENSG00000077782	ENSG00000077782	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000100644	ENSG00000100644	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000028137	ENSG00000028137		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000123384	ENSG00000123384		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000110092	ENSG00000110092		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000107643	ENSG00000107643	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000066468	ENSG00000066468	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000015475	ENSG00000015475		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000164733	ENSG00000164733	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000117984	ENSG00000117984	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000134982	ENSG00000134982		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000064300	ENSG00000064300		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000148737	ENSG00000148737		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000105976	ENSG00000105976		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000113520	ENSG00000113520		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000026103	ENSG00000026103	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000170345	ENSG00000170345		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000232810	ENSG00000232810	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000163599	ENSG00000163599		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000118271	ENSG00000118271		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000164690	ENSG00000164690	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000136869	ENSG00000136869	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000108691	ENSG00000108691		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000142208	ENSG00000142208	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000168621	ENSG00000168621		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000175445	ENSG00000175445		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000126456	ENSG00000126456		157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000070193	ENSG00000070193	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000142192	ENSG00000142192	1	157	157	269	11	0	184	116	95	21	Cell communication, signal transduction
ENSG00000091513	ENSG00000091513	1	159	159	32	1	0	23	11	7	4	Antigen processing
ENSG00000047457	ENSG00000047457		159	159	32	1	0	23	11	7	4	Antigen processing
ENSG00000103546	ENSG00000103546		165	165	44	3	0	34	12	11	1	Synaptic junctions and signaling
ENSG00000122194	ENSG00000122194		166	166	40	0	0	27	16	11	5	Fibrin clot formation and metabolic processes
ENSG00000105281	ENSG00000105281		166	166	40	0	0	27	16	11	5	Fibrin clot formation and metabolic processes
ENSG00000089250	ENSG00000089250		168	168	97	6	0	63	63	51	12	Postsynpatic membrane
ENSG00000108823	ENSG00000108823	1	168	168	97	6	0	63	63	51	12	Postsynpatic membrane
ENSG00000134852	ENSG00000134852		175	175	204	9	0	97	122	98	24	Metabolic process regulation and nucleus structure
ENSG00000012048	ENSG00000012048		175	175	204	9	0	97	122	98	24	Metabolic process regulation and nucleus structure
ENSG00000139618	ENSG00000139618		175	175	204	9	0	97	122	98	24	Metabolic process regulation and nucleus structure
ENSG00000180530	ENSG00000180530		175	175	204	9	0	97	122	98	24	Metabolic process regulation and nucleus structure
ENSG00000073050	ENSG00000073050		175	175	204	9	0	97	122	98	24	Metabolic process regulation and nucleus structure
ENSG00000048052	ENSG00000048052		175	175	204	9	0	97	122	98	24	Metabolic process regulation and nucleus structure
ENSG00000186951	ENSG00000186951		175	175	204	9	0	97	122	98	24	Metabolic process regulation and nucleus structure
ENSG00000144554	ENSG00000144554	1	175	175	204	9	0	97	122	98	24	Metabolic process regulation and nucleus structure
ENSG00000094631	ENSG00000094631	1	175	175	204	9	0	97	122	98	24	Metabolic process regulation and nucleus structure
ENSG00000149311	ENSG00000149311		175	175	204	9	0	97	122	98	24	Metabolic process regulation and nucleus structure
ENSG00000188486	ENSG00000188486	1	175	175	204	9	0	97	122	98	24	Metabolic process regulation and nucleus structure
ENSG00000133794	ENSG00000133794	1	175	175	204	9	0	97	122	98	24	Metabolic process regulation and nucleus structure
ENSG00000096717	ENSG00000096717	1	175	175	204	9	0	97	122	98	24	Metabolic process regulation and nucleus structure
ENSG00000118971	ENSG00000118971		175	175	204	9	0	97	122	98	24	Metabolic process regulation and nucleus structure
ENSG00000139687	ENSG00000139687	1	175	175	204	9	0	97	122	98	24	Metabolic process regulation and nucleus structure
ENSG00000116478	ENSG00000116478	1	175	175	204	9	0	97	122	98	24	Metabolic process regulation and nucleus structure
ENSG00000152422	ENSG00000152422		175	175	204	9	0	97	122	98	24	Metabolic process regulation and nucleus structure
ENSG00000049541	ENSG00000049541	1	175	175	204	9	0	97	122	98	24	Metabolic process regulation and nucleus structure
ENSG00000105143	ENSG00000105143		186	186	38	2	0	19	18	16	2	15q11.2 CNV and microtubule organisation
ENSG00000164985	ENSG00000164985		186	186	38	2	0	19	18	16	2	15q11.2 CNV and microtubule organisation
ENSG00000177575	ENSG00000177575		186	186	38	2	0	19	18	16	2	15q11.2 CNV and microtubule organisation
ENSG00000257017	ENSG00000257017		186	186	38	2	0	19	18	16	2	15q11.2 CNV and microtubule organisation
ENSG00000100294	ENSG00000100294		187	187	20	1	0	9	13	13	0	Fatty acid biosynthesis and kinase signaling
ENSG00000278540	ENSG00000278540	1	187	187	20	1	0	9	13	13	0	Fatty acid biosynthesis and kinase signaling
ENSG00000162409	ENSG00000162409	1	187	187	20	1	0	9	13	13	0	Fatty acid biosynthesis and kinase signaling
ENSG00000072310	ENSG00000072310	1	187	187	20	1	0	9	13	13	0	Fatty acid biosynthesis and kinase signaling
ENSG00000167165	ENSG00000167165		189	189	101	3	0	77	31	23	8	Carboxylic acid and organic acid metabolic processes
ENSG00000095596	ENSG00000095596	1	189	189	101	3	0	77	31	23	8	Carboxylic acid and organic acid metabolic processes
ENSG00000089163	ENSG00000089163	1	189	189	101	3	0	77	31	23	8	Carboxylic acid and organic acid metabolic processes
ENSG00000165092	ENSG00000165092		189	189	101	3	0	77	31	23	8	Carboxylic acid and organic acid metabolic processes
ENSG00000185532	ENSG00000185532	1	189	189	101	3	0	77	31	23	8	Carboxylic acid and organic acid metabolic processes
ENSG00000243955	ENSG00000243955		189	189	101	3	0	77	31	23	8	Carboxylic acid and organic acid metabolic processes
ENSG00000124523	ENSG00000124523		189	189	101	3	0	77	31	23	8	Carboxylic acid and organic acid metabolic processes
ENSG00000187553	ENSG00000187553	1	189	189	101	3	0	77	31	23	8	Carboxylic acid and organic acid metabolic processes
ENSG00000140505	ENSG00000140505		189	189	101	3	0	77	31	23	8	Carboxylic acid and organic acid metabolic processes
ENSG00000160868	ENSG00000160868		189	189	101	3	0	77	31	23	8	Carboxylic acid and organic acid metabolic processes
ENSG00000115419	ENSG00000115419		189	189	101	3	0	77	31	23	8	Carboxylic acid and organic acid metabolic processes
ENSG00000003137	ENSG00000003137	1	189	189	101	3	0	77	31	23	8	Carboxylic acid and organic acid metabolic processes
ENSG00000140465	ENSG00000140465		189	189	101	3	0	77	31	23	8	Carboxylic acid and organic acid metabolic processes
ENSG00000073578	ENSG00000073578		193	193	22	0	0	7	16	16	0	Citric acid cycle
ENSG00000184916	ENSG00000184916		202	202	7	1	0	6	0	0	0	Notch signaling
ENSG00000131095	ENSG00000131095		389	389	10	0	0	5	5	0	5	NADPH oxidase activity and superoxide generation
ENSG00000205927	ENSG00000205927		389	389	10	0	0	5	5	0	5	NADPH oxidase activity and superoxide generation
