"CNVassociated","Ensembl","fromDisGeNET","fromPublication","fromWikiPathways","gLayCluster","HGNCsymbol","name","name.copy","PathwayID","Publication.doi","selected","shared name","snpID","WPNodeID","WPNodeIDType"
"1","ENSG00000236670",,,"1","103","KRT18P5","KRT18P5","KRT18P5","WP4657",,"false","KRT18P5",,"ENSG00000236670","ensembl"
"1","ENSG00000199104",,,"1","104","MIR346","MIR346","MIR346","WP5402",,"false","MIR346",,"ENSG00000199104","ensembl"
"1","ENSG00000284464",,,"1","105","MIR1306","hsa-mir-1306","hsa-mir-1306","WP4657",,"false","hsa-mir-1306",,"MI0006443","mirbase"
"1","ENSG00000250261",,,"1","106","CCDC74BP1","CCDC74BP1","CCDC74BP1","WP4657",,"false","CCDC74BP1",,"ENSG00000250261","ensembl"
"1","ENSG00000232415",,,"1","107","ELN-AS1","ELN-AS1","ELN-AS1","WP4932",,"false","ELN-AS1",,"ENSG00000232415","ensembl"
"1","ENSG00000201441",,,"1","108","RNU6-646P","RNU6-646P","RNU6-646P","WP4906",,"false","RNU6-646P",,"ENSG00000201441","ensembl"
"1","ENSG00000281548",,,"1","109","LINC00895","LINC00895","LINC00895","WP4657",,"false","LINC00895",,"ENSG00000281548","ensembl"
"1","ENSG00000201142",,,"1","110","RNU1-151P","RNU1-151P","RNU1-151P","WP4905",,"false","RNU1-151P",,"ENSG00000201142","ensembl"
"1","ENSG00000233487",,,"1","111","RPSAP69","RPSAP69","RPSAP69","WP4906",,"false","RPSAP69",,"ENSG00000233487","ensembl"
"1","ENSG00000264346",,,"1","112","SNORA77B","SNORA77B","SNORA77B","WP4657",,"false","SNORA77B",,"ENSG00000264346","ensembl"
"1","ENSG00000232977",,,"1","113","LINC00327","LINC00327","LINC00327","WP5406",,"false","LINC00327",,"ENSG00000232977","ensembl"
"1","ENSG00000265724",,,"1","114","MIR4284","hsa-mir-4284","hsa-mir-4284","WP4932",,"false","hsa-mir-4284",,"MI0015893","mirbase"
"1","ENSG00000226015",,,"1","115","CCT8P1","CCT8P1","CCT8P1","WP4905",,"false","CCT8P1",,"ENSG00000226015","ensembl"
"1","ENSG00000161149",,,"1","116",,"TUBA3FP","TUBA3FP","WP4657",,"false","TUBA3FP",,"ENSG00000161149","ensembl"
"1","ENSG00000225969",,,"1","117","ABHD11-AS1","ABHD11-AS1","ABHD11-AS1","WP4932",,"false","ABHD11-AS1",,"ENSG00000225969","ensembl"
"1","ENSG00000277031",,,"1","118","RN7SL796P","RN7SL796P","RN7SL796P","WP4942",,"false","RN7SL796P",,"ENSG00000277031","ensembl"
"1","ENSG00000244371",,,"1","119","PFN1P8","PFN1P8","PFN1P8","WP4905",,"false","PFN1P8",,"ENSG00000244371","ensembl"
"1","ENSG00000259179",,,"1","120","UBE2CP4","UBE2CP4","UBE2CP4","WP4942",,"false","UBE2CP4",,"ENSG00000259179","ensembl"
"1","ENSG00000277762",,,"1","121","RN7SL261P","RN7SL261P","RN7SL261P","WP4905",,"false","RN7SL261P",,"ENSG00000277762","ensembl"
"1","ENSG00000207924",,,"1","122","MIR196A2","hsa-mir-196a-2","MI0000279;hsa-mir-196a-2","WP5398",,"false","hsa-mir-196a-2",,"MI0000279","mirbase"
"1","ENSG00000244682",,,"1","123","FCGR2C","FCGR2C","ENSG00000244682;FCGR2C","WP5346",,"false","FCGR2C",,"ENSG00000244682","ensembl"
"1","ENSG00000259845",,,"1","124","HERC2P10","HERC2P10","HERC2P10","WP4942",,"false","HERC2P10",,"ENSG00000259845","ensembl"
"1","ENSG00000278696",,,"1","125","RN7SL82P","RN7SL82P","RN7SL82P","WP4942",,"false","RN7SL82P",,"ENSG00000278696","ensembl"
"1","ENSG00000169668",,,"1","126","BCRP2","BCRP2","BCRP2","WP4657",,"false","BCRP2",,"ENSG00000169668","ensembl"
"1","ENSG00000238125",,,"1","127","SLC9A3P2","SLC9A3P2","SLC9A3P2","WP4657",,"false","SLC9A3P2",,"ENSG00000238125","ensembl"
"1","ENSG00000274424",,,"1","128","RN7SL196P","RN7SL196P","RN7SL196P","WP4942",,"false","RN7SL196P",,"ENSG00000274424","ensembl"
"1","ENSG00000129128",,,"1","129","SPCS3","SPCS3","SPCS3","WP5408",,"false","SPCS3",,"ENSG00000129128","ensembl"
"1","ENSG00000163975",,,"1","130","MELTF","MELTF","ENSG00000163975;MELTF","WP4906",,"false","MELTF",,"ENSG00000163975","ensembl"
"1","ENSG00000166716",,,"1","131","ZNF592","ZNF592","ZNF592","WP5408",,"false","ZNF592",,"ENSG00000166716","ensembl"
"1","ENSG00000027001",,,"1","132","MIPEP","MIPEP","MIPEP","WP5406",,"false","MIPEP",,"ENSG00000027001","ensembl"
"1","ENSG00000104059",,,"1","133","FAM189A1","ENTREP2","ENTREP2","WP5407",,"false","ENTREP2",,"ENSG00000104059","ensembl"
,"ENSG00000172922",,"1",,"134","RNASEH2C","RNASEH2C","RNASEH2C",,"10.1038/s41586-022-04434-5","false","RNASEH2C","rs11227250",,
,"ENSG00000157005",,,"1","135","SST","SST","SST","WP3584",,"false","SST",,"ENSG00000157005","ensembl"
"1","ENSG00000144554",,,"1","136","FANCD2","FANCD2","ENSG00000144554;FANCD2","WP4942, WP5407",,"false","FANCD2",,"ENSG00000144554","ensembl"
"1","ENSG00000005339",,,"1","137","CREBBP","CBP, CREBBP","CBP, CREBBP;ENSG00000005339","WP4942, WP5407",,"false","CBP, CREBBP",,"ENSG00000005339","ensembl"
,"ENSG00000147133",,,"1","138","TAF1","TAF1","TAF1","WP3584",,"false","TAF1",,"ENSG00000147133","ensembl"
"1","ENSG00000285077",,,"1","139","ARHGAP11B","ARHGAP11B","ARHGAP11B;ENSG00000285077","WP4942",,"false","ARHGAP11B",,"ENSG00000285077","ensembl"
,"ENSG00000128683",,,"1","140","GAD1","GAD1","ENSG00000128683;GAD1","WP3584",,"false","GAD1",,"ENSG00000128683","ensembl"
"1","ENSG00000100218",,,"1","141","RSPH14","RSPH14","RSPH14","WP5402",,"false","RSPH14",,"ENSG00000100218","ensembl"
"1","ENSG00000010810",,,"1","137","FYN","FYN","ENSG00000010810;FYN","WP4942",,"false","FYN",,"ENSG00000010810","ensembl"
"1","ENSG00000062650",,,"1","142","WAPL","WAPAL, WAPL","WAPAL, WAPL","WP5402",,"false","WAPAL, WAPL",,"ENSG00000062650","ensembl"
,"ENSG00000115540",,"1",,"143","MOB4","MOB4","MOB4",,"10.1038/s41586-022-04434-5","false","MOB4","rs2914983",,
,"ENSG00000140465",,,"1","135","CYP1A1","CYP1A1","1543;CYP1A1","WP408",,"false","CYP1A1",,"1543","ncbigene"
"1","ENSG00000119333",,,"1","143","DYNC2I2","WDR34","WDR34","WP4906",,"false","WDR34",,"ENSG00000119333","ensembl"
"1","ENSG00000183153",,,"1","144","GJD3","GJD3","ENSG00000183153;GJD3","WP5407",,"false","GJD3",,"ENSG00000183153","ensembl"
,"ENSG00000008441",,,"1","145","NFIX","NFIX","4784;NFIX","WP408",,"false","NFIX",,"4784","ncbigene"
"1","ENSG00000099889",,,"1","146","ARVCF","ARVCF","ARVCF;ENSG00000099889","WP4657",,"false","ARVCF",,"ENSG00000099889","ensembl"
"1","ENSG00000253958",,,"1","147","CLDN23","CLDN23","CLDN23","WP5346",,"false","CLDN23",,"ENSG00000253958","ensembl"
"1","ENSG00000187123",,,"1","148","LYPD6","LYPD6","ENSG00000187123;LYPD6","WP5407",,"false","LYPD6",,"ENSG00000187123","ensembl"
"1","ENSG00000128191",,,"1","137","DGCR8","DGCR8","DGCR8","WP4657",,"false","DGCR8",,"ENSG00000128191","ensembl"
"1","ENSG00000100084",,,"1","138","HIRA","HIRA","ENSG00000100084;HIRA","WP4657",,"false","HIRA",,"ENSG00000100084","ensembl"
"1","ENSG00000105695",,,"1","143","MAG","MAG","ENSG00000105695;MAG","WP3584, WP4657, WP5406",,"false","MAG",,"ENSG00000105695","ensembl"
"1","ENSG00000169918",,,"1","149","OTUD7A","OTUD7A","ENSG00000169918;OTUD7A","WP4942, WP5407",,"false","OTUD7A",,"ENSG00000169918","ensembl"
"1","ENSG00000135439",,,"1","147","AGAP2","AGAP2","AGAP2;ENSG00000135439","WP5408",,"false","AGAP2",,"ENSG00000135439","ensembl"
"1","ENSG00000070010",,,"1","138","UFD1","UFD1","ENSG00000070010;UFD1","WP4657",,"false","UFD1",,"ENSG00000070010","ensembl"
"1","ENSG00000138449",,,"1","150","SLC40A1","SLC40A1","SLC40A1","WP4906",,"false","SLC40A1",,"ENSG00000138449","ensembl"
"1","ENSG00000070718",,,"1","151","AP3M2","AP3M2","AP3M2","WP5408",,"false","AP3M2",,"P53677","uniprot"
"1","ENSG00000099917",,,"1","152","MED15","ARC105, MED15","ARC105, MED15","WP4657",,"false","ARC105, MED15",,"ENSG00000099917","ensembl"
"1","ENSG00000132639",,,"1","153","SNAP25","SNAP25","SNAP25","WP4932",,"false","SNAP25",,"ENSG00000132639","ensembl"
"1","ENSG00000114388",,,"1","154","NPRL2","NPRL2","NPRL2","WP4657",,"false","NPRL2",,"ENSG00000114388","ensembl"
"1","ENSG00000120942",,,"1","155","UBIAD1","UBIAD1","ENSG00000120942;UBIAD1","WP4932",,"false","UBIAD1",,"ENSG00000120942","ensembl"
,"ENSG00000137154",,,"1","156","RPS6","RPS6, S6","ENSG00000137154;RPS6, S6","WP3584",,"false","RPS6, S6",,"ENSG00000137154","ensembl"
"1","ENSG00000166664",,,"1","149","CHRFAM7A","CHRFAM7A","CHRFAM7A","WP4942",,"false","CHRFAM7A",,"ENSG00000166664","ensembl"
,"ENSG00000148660",,,"1","147","CAMK2G","CAMK2G, CaMK2G","CAMK2G, CaMK2G","WP4875",,"false","CAMK2G, CaMK2G",,"ENSG00000148660","ensembl"
"1","ENSG00000172175",,,"1","137","MALT1","MALT1","ENSG00000172175;MALT1","WP4657",,"false","MALT1",,"ENSG00000172175","ensembl"
"1","ENSG00000088986",,,"1","143","DYNLL1","DYNLL1","DYNLL1","WP4906",,"false","DYNLL1",,"ENSG00000088986","ensembl"
"1","ENSG00000173273",,,"1","142","TNKS","TNKS","ENSG00000173273;TNKS","WP5346",,"false","TNKS",,"ENSG00000173273","ensembl"
"1","ENSG00000176692",,,"1","157","FOXC2","FOXC2","ENSG00000176692;FOXC2","WP4657",,"false","FOXC2",,"ENSG00000176692","ensembl"
"1","ENSG00000119689",,,"1","140","DLST","DLST","DLST","WP4932",,"false","DLST",,"ENSG00000119689","ensembl"
"1","ENSG00000198785",,,"1","147","GRIN3A","GRIN3A","GRIN3A","WP5398",,"false","GRIN3A",,"ENSG00000198785","ensembl"
"1","ENSG00000163950",,,"1","158","SLBP","SLBP","ENSG00000163950;SLBP","WP5346",,"false","SLBP",,"ENSG00000163950","ensembl"
"1","ENSG00000163964",,,"1","159","PIGX","PIGX","PIGX","WP4906",,"false","PIGX",,"ENSG00000163964","ensembl"
"1","ENSG00000173402",,,"1","160","DAG1","DAG1, DAG1-a","DAG1, DAG1-a","WP5406",,"false","DAG1, DAG1-a",,"ENSG00000173402","ensembl"
"1","ENSG00000115524",,"1","1","158","SF3B1","SF3B1","SF3B1","WP4932","10.1038/s41586-022-04434-5","false","SF3B1","rs2914983","O75533","uniprot"
"1","ENSG00000169760",,,"1","147","NLGN1","NLGN1","ENSG00000169760;NLGN1","WP4875, WP5398",,"false","NLGN1",,"ENSG00000169760","ensembl"
"1","ENSG00000111834",,,"1","161","RSPH4A","RSPH4A","RSPH4A","WP5402",,"false","RSPH4A",,"ENSG00000111834","ensembl"
,"ENSG00000112062",,,"1","137","MAPK14","MAPK14, p38, p38 MAPK, p38MAPK","MAPK14, p38, p38 MAPK, p38MAPK","WP408",,"false","MAPK14, p38, p38 MAPK, p38MAPK",,"1432","ncbigene"
"1","ENSG00000166147",,,"1","162","FBN1","FBN1","FBN1","WP4932",,"false","FBN1",,"ENSG00000166147","ensembl"
"1","ENSG00000124688",,,"1","163","MAD2L1BP","MAD2L1BP","ENSG00000124688;MAD2L1BP","WP4906",,"false","MAD2L1BP",,"ENSG00000124688","ensembl"
,"ENSG00000168394",,,"1","164","TAP1","TAP1","TAP1","WP3584",,"false","TAP1",,"ENSG00000168394","ensembl"
,"ENSG00000127152",,"1",,"152","BCL11B","BCL11B","BCL11B",,"10.1038/s41586-022-04434-5","false","BCL11B","rs1540840",,
