AOid_target	AOPid_source	AOid	AOtitle	AOPid	AOPtitle
https://identifiers.org/aop.events/1709	https://identifiers.org/aop/313	https://identifiers.org/aop.events/1709	Psoriatic skin disease	https://identifiers.org/aop/313	Stimulation of TLR7/8 in dendric cells leading to Psoriatic skin disease
https://identifiers.org/aop.events/1719	https://identifiers.org/aop/315	https://identifiers.org/aop.events/1719	Impairment of T-cell dependent antibody response	https://identifiers.org/aop/315	Inhibition of JAK3 leading to impairment of T-Cell Dependent Antibody Response
https://identifiers.org/aop.events/1841	https://identifiers.org/aop/374	https://identifiers.org/aop.events/1841	Encephalitis	https://identifiers.org/aop/374	Binding of Sars-CoV-2 spike protein to ACE 2 receptors expressed on brain cells (neuronal and non-neuronal) leads to neuroinflammation resulting in encephalitis
https://identifiers.org/aop.events/1841	https://identifiers.org/aop/471	https://identifiers.org/aop.events/1841	Encephalitis	https://identifiers.org/aop/471	Various neuronal effects induced by elavl3, sox10, and mbp
https://identifiers.org/aop.events/1843	https://identifiers.org/aop/377	https://identifiers.org/aop.events/1843	Multi Organ Failure involving Acute Respiratory Distress Syndrome	https://identifiers.org/aop/377	Dysregulated prolonged Toll Like Receptor 9 (TLR9) activation leading to Multi Organ Failure involving Acute Respiratory Distress Syndrome (ARDS)
https://identifiers.org/aop.events/185	https://identifiers.org/aop/293	https://identifiers.org/aop.events/185	Increase, Mutations	https://identifiers.org/aop/293	Increased DNA damage leading to increased risk of breast cancer
https://identifiers.org/aop.events/185	https://identifiers.org/aop/294	https://identifiers.org/aop.events/185	Increase, Mutations	https://identifiers.org/aop/294	Increased reactive oxygen and nitrogen species (RONS) leading to increased risk of breast cancer
https://identifiers.org/aop.events/1863	https://identifiers.org/aop/476	https://identifiers.org/aop.events/1863	Decrease, Reproduction	https://identifiers.org/aop/476	Adverse Outcome Pathways diagram related to PBDEs associated male reproductive toxicity
https://identifiers.org/aop.events/1868	https://identifiers.org/aop/392	https://identifiers.org/aop.events/1868	Hyperinflammation	https://identifiers.org/aop/392	Decreased fibrinolysis and activated bradykinin system leading to hyperinflammation
https://identifiers.org/aop.events/1868	https://identifiers.org/aop/468	https://identifiers.org/aop.events/1868	Hyperinflammation	https://identifiers.org/aop/468	Binding of SARS-CoV-2 to ACE2 leads to hyperinflammation (via cell death)
https://identifiers.org/aop.events/1916	https://identifiers.org/aop/412	https://identifiers.org/aop.events/1916	Thromboinflammation, Increased 	https://identifiers.org/aop/412	Endothelial cell dysfunction leading to thromboinflammation
https://identifiers.org/aop.events/1941	https://identifiers.org/aop/429	https://identifiers.org/aop.events/1941	Memory Loss	https://identifiers.org/aop/429	A cholesterol/glucose dysmetabolism initiated Tau-driven AOP toward memory loss (AO) in sporadic Alzheimer's Disease with plausible MIE's plug-ins for environmental neurotoxicants
https://identifiers.org/aop.events/1955	https://identifiers.org/aop/432	https://identifiers.org/aop.events/1955	Acute Myeloid Leukemia	https://identifiers.org/aop/432	Deposition of Energy by Ionizing Radiation leading to Acute Myeloid Leukemia
https://identifiers.org/aop.events/1982	https://identifiers.org/aop/443	https://identifiers.org/aop.events/1982	metastatic breast cancer	https://identifiers.org/aop/443	 DNA damage and mutations leading to Metastatic Breast Cancer
https://identifiers.org/aop.events/2008	https://identifiers.org/aop/452	https://identifiers.org/aop.events/2008	Chronic obstructive pulmonary disease	https://identifiers.org/aop/452	Adverse outcome pathway of PM-induced respiratory toxicity
https://identifiers.org/aop.events/2042	https://identifiers.org/aop/491	https://identifiers.org/aop.events/2042	Orofacial clefting	https://identifiers.org/aop/491	Decrease, GLI1/2 target gene expression leads to orofacial clefting 
https://identifiers.org/aop.events/2042	https://identifiers.org/aop/460	https://identifiers.org/aop.events/2042	Orofacial clefting	https://identifiers.org/aop/460	Antagonism of Smoothened receptor leading to orofacial clefting
https://identifiers.org/aop.events/2042	https://identifiers.org/aop/502	https://identifiers.org/aop.events/2042	Orofacial clefting	https://identifiers.org/aop/502	Decrease, cholesterol synthesis leads to orofacial clefting
https://identifiers.org/aop.events/2069	https://identifiers.org/aop/470	https://identifiers.org/aop.events/2069	Occurrence, Vascular Remodeling 	https://identifiers.org/aop/470	Deposition of energy leads to vascular remodeling
https://identifiers.org/aop.events/2091	https://identifiers.org/aop/482	https://identifiers.org/aop.events/2091	Occurrence, Bone Loss	https://identifiers.org/aop/482	Deposition of energy leading to occurrence of bone loss
https://identifiers.org/aop.events/2121	https://identifiers.org/aop/490	https://identifiers.org/aop.events/2121	decreased, Intellectual Quotient	https://identifiers.org/aop/490	Co-activation of IP3R and RyR leads to economic burden through reduced IQ and non-cholinergic mechanisms
https://identifiers.org/aop.events/2122	https://identifiers.org/aop/490	https://identifiers.org/aop.events/2122	increased, Economic Burden	https://identifiers.org/aop/490	Co-activation of IP3R and RyR leads to economic burden through reduced IQ and non-cholinergic mechanisms
https://identifiers.org/aop.events/2135	https://identifiers.org/aop/495	https://identifiers.org/aop.events/2135	Prostate cancer	https://identifiers.org/aop/495	Androgen receptor activation leading to prostate cancer
https://identifiers.org/aop.events/2194	https://identifiers.org/aop/506	https://identifiers.org/aop.events/2194	Influenza A Virus (IAV) shedding and transmission	https://identifiers.org/aop/506	Binding of Influenza A Virus (IAV) to Sialic Acid Glycan Receptor leads to viral infection proliferation
https://identifiers.org/aop.events/313	https://identifiers.org/aop/39	https://identifiers.org/aop.events/313	Increase, Allergic Respiratory Hypersensitivity Response	https://identifiers.org/aop/39	Covalent Binding, Protein, leading to Increase, Allergic Respiratory Hypersensitivity Response
https://identifiers.org/aop.events/323	https://identifiers.org/aop/14	https://identifiers.org/aop.events/323	Increased, Disease susceptibility	https://identifiers.org/aop/14	Glucocorticoid Receptor Activation Leading to Increased Disease Susceptibility
https://identifiers.org/aop.events/341	https://identifiers.org/aop/12	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging
https://identifiers.org/aop.events/341	https://identifiers.org/aop/490	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/490	Co-activation of IP3R and RyR leads to economic burden through reduced IQ and non-cholinergic mechanisms
https://identifiers.org/aop.events/341	https://identifiers.org/aop/13	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/13	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities
https://identifiers.org/aop.events/341	https://identifiers.org/aop/500	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/500	Activation of MEK-ERK1/2 leads to deficits in learning and cognition via ROS and apoptosis
https://identifiers.org/aop.events/341	https://identifiers.org/aop/483	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/483	Deposition of Energy Leading to Learning and Memory Impairment
https://identifiers.org/aop.events/341	https://identifiers.org/aop/17	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/17	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory
https://identifiers.org/aop.events/341	https://identifiers.org/aop/48	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/48	Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.
https://identifiers.org/aop.events/341	https://identifiers.org/aop/54	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/54	Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment 
https://identifiers.org/aop.events/344	https://identifiers.org/aop/38	https://identifiers.org/aop.events/344	N/A, Liver fibrosis	https://identifiers.org/aop/38	Protein Alkylation leading to Liver Fibrosis
https://identifiers.org/aop.events/344	https://identifiers.org/aop/494	https://identifiers.org/aop.events/344	N/A, Liver fibrosis	https://identifiers.org/aop/494	AhR activation leading to liver fibrosis 
https://identifiers.org/aop.events/344	https://identifiers.org/aop/144	https://identifiers.org/aop.events/344	N/A, Liver fibrosis	https://identifiers.org/aop/144	Endocytic lysosomal uptake leading to liver fibrosis
https://identifiers.org/aop.events/345	https://identifiers.org/aop/34	https://identifiers.org/aop.events/345	N/A, Liver Steatosis	https://identifiers.org/aop/34	LXR activation leading to hepatic steatosis
https://identifiers.org/aop.events/350	https://identifiers.org/aop/471	https://identifiers.org/aop.events/350	Increase, Mortality	https://identifiers.org/aop/471	Various neuronal effects induced by elavl3, sox10, and mbp
https://identifiers.org/aop.events/350	https://identifiers.org/aop/479	https://identifiers.org/aop.events/350	Increase, Mortality	https://identifiers.org/aop/479	Mitochondrial complexes inhibition leading to heart failure via increased myocardial oxidative stress
https://identifiers.org/aop.events/351	https://identifiers.org/aop/410	https://identifiers.org/aop.events/351	Increased Mortality	https://identifiers.org/aop/410	GSK3beta inactivation leading to increased mortality via defects in developing inner ear
https://identifiers.org/aop.events/351	https://identifiers.org/aop/320	https://identifiers.org/aop.events/351	Increased Mortality	https://identifiers.org/aop/320	Binding of SARS-CoV-2 to ACE2 receptor leading to acute respiratory distress associated mortality
https://identifiers.org/aop.events/351	https://identifiers.org/aop/377	https://identifiers.org/aop.events/351	Increased Mortality	https://identifiers.org/aop/377	Dysregulated prolonged Toll Like Receptor 9 (TLR9) activation leading to Multi Organ Failure involving Acute Respiratory Distress Syndrome (ARDS)
https://identifiers.org/aop.events/352	https://identifiers.org/aop/281	https://identifiers.org/aop.events/352	N/A, Neurodegeneration	https://identifiers.org/aop/281	Acetylcholinesterase Inhibition Leading to Neurodegeneration
https://identifiers.org/aop.events/352	https://identifiers.org/aop/12	https://identifiers.org/aop.events/352	N/A, Neurodegeneration	https://identifiers.org/aop/12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging
https://identifiers.org/aop.events/357	https://identifiers.org/aop/27	https://identifiers.org/aop.events/357	Cholestasis, Pathology	https://identifiers.org/aop/27	Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11)
https://identifiers.org/aop.events/360	https://identifiers.org/aop/410	https://identifiers.org/aop.events/360	Decrease, Population growth rate	https://identifiers.org/aop/410	GSK3beta inactivation leading to increased mortality via defects in developing inner ear
https://identifiers.org/aop.events/402	https://identifiers.org/aop/152	https://identifiers.org/aop.events/402	Cognitive Function, Decreased 	https://identifiers.org/aop/152	Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity 
https://identifiers.org/aop.events/459	https://identifiers.org/aop/518	https://identifiers.org/aop.events/459	Increased, Liver Steatosis	https://identifiers.org/aop/518	Liver X Receptor (LXR) activation leads to liver steatosis
https://identifiers.org/aop.events/459	https://identifiers.org/aop/58	https://identifiers.org/aop.events/459	Increased, Liver Steatosis	https://identifiers.org/aop/58	NR1I3 (CAR) suppression leading to hepatic steatosis
https://identifiers.org/aop.events/520	https://identifiers.org/aop/476	https://identifiers.org/aop.events/520	Decreased sperm quantity or quality in the adult, Decreased fertility 	https://identifiers.org/aop/476	Adverse Outcome Pathways diagram related to PBDEs associated male reproductive toxicity
https://identifiers.org/aop.events/637	https://identifiers.org/aop/471	https://identifiers.org/aop.events/637	impaired, Learning and memory	https://identifiers.org/aop/471	Various neuronal effects induced by elavl3, sox10, and mbp
https://identifiers.org/aop.events/719	https://identifiers.org/aop/108	https://identifiers.org/aop.events/719	Increase, hepatocellular adenomas and carcinomas	https://identifiers.org/aop/108	Inhibition of pyruvate dehydrogenase kinase leading to hepatocellular adenomas and carcinomas (in mouse and rat)
https://identifiers.org/aop.events/759	https://identifiers.org/aop/447	https://identifiers.org/aop.events/759	Increased, Kidney Failure	https://identifiers.org/aop/447	Kidney failure induced by inhibition of mitochondrial electron transfer chain through apoptosis, inflammation and oxidative stress pathways
https://identifiers.org/aop.events/814	https://identifiers.org/aop/257	https://identifiers.org/aop.events/814	Occurrence, Kidney toxicity	https://identifiers.org/aop/257	Receptor mediated endocytosis and lysosomal overload leading to kidney toxicity
https://identifiers.org/aop.events/827	https://identifiers.org/aop/40	https://identifiers.org/aop.events/827	sensitisation, skin	https://identifiers.org/aop/40	Covalent Protein binding leading to Skin Sensitisation
https://identifiers.org/aop.events/856	https://identifiers.org/aop/41	https://identifiers.org/aop.events/856	Formation, Hepatocellular and Bile duct tumors	https://identifiers.org/aop/41	Sustained AhR Activation leading to Rodent Liver Tumours
https://identifiers.org/aop.events/872	https://identifiers.org/aop/368	https://identifiers.org/aop.events/872	Increase, Site of Contact Nasal Tumors	https://identifiers.org/aop/368	Cytochrome oxidase inhibition leading to olfactory nasal lesions
https://identifiers.org/aop.events/885	https://identifiers.org/aop/513	https://identifiers.org/aop.events/885	Increase, Cancer	https://identifiers.org/aop/513	Reactive Oxygen (ROS) formation leads to cancer via Peroxisome proliferation-activated receptor (PPAR) pathway
https://identifiers.org/aop.events/885	https://identifiers.org/aop/505	https://identifiers.org/aop.events/885	Increase, Cancer	https://identifiers.org/aop/505	Reactive Oxygen Species (ROS) formation leads to cancer via inflammation pathway
https://identifiers.org/aop.events/896	https://identifiers.org/aop/464	https://identifiers.org/aop.events/896	Parkinsonian motor deficits	https://identifiers.org/aop/464	Calcium overload in dopaminergic neurons of the substantia nigra leading to parkinsonian motor deficits
https://identifiers.org/aop.events/896	https://identifiers.org/aop/3	https://identifiers.org/aop.events/896	Parkinsonian motor deficits	https://identifiers.org/aop/3	Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits
https://identifiers.org/aop.events/896	https://identifiers.org/aop/471	https://identifiers.org/aop.events/896	Parkinsonian motor deficits	https://identifiers.org/aop/471	Various neuronal effects induced by elavl3, sox10, and mbp
https://identifiers.org/aop.events/952	https://identifiers.org/aop/149	https://identifiers.org/aop.events/952	Hypertension	https://identifiers.org/aop/149	Peptide Oxidation Leading to Hypertension
https://identifiers.org/aop.events/984	https://identifiers.org/aop/154	https://identifiers.org/aop.events/984	Impairment, T-cell dependent antibody response	https://identifiers.org/aop/154	Inhibition of Calcineurin Activity Leading to Impaired T-Cell Dependent Antibody Response
https://identifiers.org/aop.events/984	https://identifiers.org/aop/277	https://identifiers.org/aop.events/984	Impairment, T-cell dependent antibody response	https://identifiers.org/aop/277	Impaired IL-1R1 signaling leading to Impaired T-Cell Dependent Antibody Response
