Ensembl	KEid	KEtitle	AOid	AOtitle	AOPid	AOPtitle
ENSG00000047936	https://identifiers.org/aop.events/188; https://identifiers.org/aop.events/1538; https://identifiers.org/aop.events/177; https://identifiers.org/aop.events/1968; https://identifiers.org/aop.events/1115; https://identifiers.org/aop.events/1510; https://identifiers.org/aop.events/1392; https://identifiers.org/aop.events/1492; https://identifiers.org/aop.events/887; https://identifiers.org/aop.events/1869; https://identifiers.org/aop.events/1969; https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/2097	Neuroinflammation; Decreased protection against oxidative stress; N/A, Mitochondrial dysfunction 1; Increase, Mitochondrial Dysfunction; Increased, Reactive oxygen species; Oxidative Stress in Brain; Oxidative Stress ; Tissue resident cell activation; Inhibition, NADH-ubiquinone oxidoreductase  (complex I); Diminished protective oxidative stress response; Increase, Oxidative Stress; Increased Pro-inflammatory mediators; Increase, Pro-Inflammatory Mediators	https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/1363; https://identifiers.org/aop.events/1841; https://identifiers.org/aop.events/1941; https://identifiers.org/aop.events/2121; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/352; https://identifiers.org/aop.events/896; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/896; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/1363; https://identifiers.org/aop.events/1514; https://identifiers.org/aop.events/1583; https://identifiers.org/aop.events/1841; https://identifiers.org/aop.events/896; https://identifiers.org/aop.events/1941; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/896; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/896; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/341	Encephalitis; Impairment, Learning and memory; Increase, seizure; Increased, epilepsy; Memory Loss; N/A, Neurodegeneration; Parkinsonian motor deficits; decreased, Intellectual Quotient; Impairment, Learning and memory; Impairment, Learning and memory; Parkinsonian motor deficits; Impairment, Learning and memory; Impairment, Learning and memory; Encephalitis; Increase, seizure; Increased, epilepsy; Neurodegeneration; Parkinsonian motor deficits; Sensory axonal peripheral neuropathy; Impairment, Learning and memory; Memory Loss; Parkinsonian motor deficits; Impairment, Learning and memory; Parkinsonian motor deficits; Cognitive Function, Decreased; Cognitive Function, Decreased; Impairment, Learning and memory; Impairment, Learning and memory	https://identifiers.org/aop/12; https://identifiers.org/aop/17; https://identifiers.org/aop/3; https://identifiers.org/aop/374; https://identifiers.org/aop/429; https://identifiers.org/aop/471; https://identifiers.org/aop/48; https://identifiers.org/aop/490; https://identifiers.org/aop/17; https://identifiers.org/aop/3; https://identifiers.org/aop/48; https://identifiers.org/aop/500; https://identifiers.org/aop/500; https://identifiers.org/aop/260; https://identifiers.org/aop/450; https://identifiers.org/aop/471; https://identifiers.org/aop/17; https://identifiers.org/aop/429; https://identifiers.org/aop/464; https://identifiers.org/aop/483; https://identifiers.org/aop/17; https://identifiers.org/aop/483; https://identifiers.org/aop/3; https://identifiers.org/aop/488; https://identifiers.org/aop/459; https://identifiers.org/aop/17; https://identifiers.org/aop/483	A cholesterol/glucose dysmetabolism initiated Tau-driven AOP toward memory loss (AO) in sporadic Alzheimer's Disease with plausible MIE's plug-ins for environmental neurotoxicants; Binding of Sars-CoV-2 spike protein to ACE 2 receptors expressed on brain cells (neuronal and non-neuronal) leads to neuroinflammation resulting in encephalitis; Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging; Co-activation of IP3R and RyR leads to economic burden through reduced IQ and non-cholinergic mechanisms; Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits; Various neuronal effects induced by elavl3, sox10, and mbp; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.; Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits; Activation of MEK-ERK1/2 leads to deficits in learning and cognition via ROS and apoptosis; Activation of MEK-ERK1/2 leads to deficits in learning and cognition via ROS and apoptosis; Inhibition of AChE and activation of CYP2E1 leading to sensory axonal peripheral neuropathy and mortality; CYP2E1 activation and formation of protein adducts leading to neurodegeneration; Various neuronal effects induced by elavl3, sox10, and mbp; A cholesterol/glucose dysmetabolism initiated Tau-driven AOP toward memory loss (AO) in sporadic Alzheimer's Disease with plausible MIE's plug-ins for environmental neurotoxicants; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Calcium overload in dopaminergic neurons of the substantia nigra leading to parkinsonian motor deficits; Deposition of Energy Leading to Learning and Memory Impairment; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Deposition of Energy Leading to Learning and Memory Impairment; Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits; Increased reactive oxygen species production leading to decreased cognitive function; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Deposition of Energy Leading to Learning and Memory Impairment
ENSG00000048052	https://identifiers.org/aop.events/1502; https://identifiers.org/aop.events/1503	Histone deacetylase inhibition; Histone acetylation, increase	https://identifiers.org/aop.events/1561; https://identifiers.org/aop.events/1561	Neural tube defects; Neural tube defects	https://identifiers.org/aop/275; https://identifiers.org/aop/449; https://identifiers.org/aop/275	Ceramide synthase inhibition leading to neural tube defects ; Histone deacetylase inhibition leads to neural tube defects; Histone deacetylase inhibition leads to neural tube defects
ENSG00000049541	https://identifiers.org/aop.events/383	Reduced, Presynaptic release of glutamate	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/13	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities
ENSG00000059915	https://identifiers.org/aop.events/385	Decrease of synaptogenesis	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/13; https://identifiers.org/aop/54	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment
ENSG00000064300	https://identifiers.org/aop.events/381	Reduced levels of BDNF	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/352	Impairment, Learning and memory; N/A, Neurodegeneration	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/54	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment
ENSG00000064651	https://identifiers.org/aop.events/851	Decrease of GABAergic interneurons	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/54	Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment
ENSG00000067182	https://identifiers.org/aop.events/1825	Increase, Cell death	https://identifiers.org/aop.events/896	Parkinsonian motor deficits	https://identifiers.org/aop/464	Calcium overload in dopaminergic neurons of the substantia nigra leading to parkinsonian motor deficits
ENSG00000067560	https://identifiers.org/aop.events/381	Reduced levels of BDNF	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/352	Impairment, Learning and memory; N/A, Neurodegeneration	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/54	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment
ENSG00000071553	https://identifiers.org/aop.events/1738	SARS-CoV-2 cell entry 	https://identifiers.org/aop.events/1875	Cerebrovascular disease (stroke)	https://identifiers.org/aop/395	Binding of Sars-CoV-2 spike protein to ACE 2 receptors expressed on pericytes leads to disseminated intravascular coagulation resulting in cerebrovascular disease (stroke)
ENSG00000071564	https://identifiers.org/aop.events/381	Reduced levels of BDNF	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/352	Impairment, Learning and memory; N/A, Neurodegeneration	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/54	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment
ENSG00000073578	https://identifiers.org/aop.events/1738	SARS-CoV-2 cell entry 	https://identifiers.org/aop.events/1875	Cerebrovascular disease (stroke)	https://identifiers.org/aop/395	Binding of Sars-CoV-2 spike protein to ACE 2 receptors expressed on pericytes leads to disseminated intravascular coagulation resulting in cerebrovascular disease (stroke)
ENSG00000075213	https://identifiers.org/aop.events/1738	SARS-CoV-2 cell entry 	https://identifiers.org/aop.events/1875	Cerebrovascular disease (stroke)	https://identifiers.org/aop/395	Binding of Sars-CoV-2 spike protein to ACE 2 receptors expressed on pericytes leads to disseminated intravascular coagulation resulting in cerebrovascular disease (stroke)
ENSG00000076685	https://identifiers.org/aop.events/1339	Increase, intracellular calcium	https://identifiers.org/aop.events/1344; https://identifiers.org/aop.events/1345; https://identifiers.org/aop.events/1346; https://identifiers.org/aop.events/341	Impairment, Learning and memory; Increased, agitation; Increased, depression; Increased, seizure	https://identifiers.org/aop/214; https://identifiers.org/aop/499; https://identifiers.org/aop/500	Activation of MEK-ERK1/2 leads to deficits in learning and cognition via ROS and apoptosis; Activation of MEK-ERK1/2 leads to deficits in learning and cognition via disrupted neurotransmitter release; Network of SSRIs (selective serotonin reuptake inhibitors)
ENSG00000077279	https://identifiers.org/aop.events/1492	Tissue resident cell activation	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/17; https://identifiers.org/aop/483	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Deposition of Energy Leading to Learning and Memory Impairment
ENSG00000077782	https://identifiers.org/aop.events/1262; https://identifiers.org/aop.events/1502; https://identifiers.org/aop.events/1503	Apoptosis; Histone deacetylase inhibition; Histone acetylation, increase	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/1561; https://identifiers.org/aop.events/1561	Impairment, Learning and memory; Neural tube defects; Neural tube defects	https://identifiers.org/aop/500; https://identifiers.org/aop/275; https://identifiers.org/aop/449; https://identifiers.org/aop/275	Activation of MEK-ERK1/2 leads to deficits in learning and cognition via ROS and apoptosis; Ceramide synthase inhibition leading to neural tube defects ; Histone deacetylase inhibition leads to neural tube defects; Histone deacetylase inhibition leads to neural tube defects
ENSG00000079215	https://identifiers.org/aop.events/1488	Glutamate dyshomeostasis	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/17	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory
ENSG00000084453	https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/961	Increased, Uptake of thyroxine into tissue; Increased, Clearance of thyroxine from serum	https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402	Cognitive Function, Decreased; Cognitive Function, Decreased	https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458	Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
ENSG00000086730	https://identifiers.org/aop.events/1488; https://identifiers.org/aop.events/960	Glutamate dyshomeostasis; Increased, Uptake of thyroxine into tissue	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402	Impairment, Learning and memory; Cognitive Function, Decreased	https://identifiers.org/aop/17; https://identifiers.org/aop/152	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
ENSG00000088827	https://identifiers.org/aop.events/890	Degeneration of dopaminergic neurons of the nigrostriatal pathway	https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/1363; https://identifiers.org/aop.events/1841; https://identifiers.org/aop.events/896	Encephalitis; Increase, seizure; Increased, epilepsy; Parkinsonian motor deficits	https://identifiers.org/aop/3; https://identifiers.org/aop/471	Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits; Various neuronal effects induced by elavl3, sox10, and mbp
ENSG00000089250	https://identifiers.org/aop.events/55	Cell injury/death	https://identifiers.org/aop.events/2121; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/352	Impairment, Learning and memory; N/A, Neurodegeneration; decreased, Intellectual Quotient	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/17; https://identifiers.org/aop/281; https://identifiers.org/aop/48; https://identifiers.org/aop/490	Acetylcholinesterase Inhibition Leading to Neurodegeneration; Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging; Co-activation of IP3R and RyR leads to economic burden through reduced IQ and non-cholinergic mechanisms
